Name;STATE;COUNTY;TRACT;GEOID
Cavanaugh Triangle (Angelo Campanero Playground);6.0;45.0;10100.0;64510100.0
Cedar Playground;36.0;5.0;18900.0;36518900.0
Central Park (Ancient Playground);36.0;61.0;14300.0;366114300.0
Central Park (Arsenal);36.0;61.0;12200.0;366112200.0
Central Park (Bethesda Terrace);36.0;61.0;23200.0;366123200.0
Central Park (Conservatory Garden);36.0;61.0;17200.0;366117200.0
Central Park (Dana Discovery Center);36.0;61.0;22400.0;366122400.0
Central Park (Heckscher Playground);36.0;61.0;11000.0;366111000.0
Central Park (Kerbs Boathouse);36.0;61.0;14300.0;366114300.0
Central Park (Lasker);36.0;61.0;19300.0;366119300.0
Central Park (Loeb Boathouse);36.0;61.0;13400.0;366113400.0
Central Park (North Meadow Recreation Center);36.0;61.0;16002.0;366116002.0
Central Park (Ramble);36.0;61.0;21600.0;366121600.0
Central Park (Sheep Meadow;36.0;61.0;12200.0;366112200.0
Central Park (Tavern on The Green);36.0;61.0;21600.0;366121600.0
Central Park (Tennis Courts);36.0;61.0;15801.0;366115801.0
Central Park (The Great Hill);36.0;61.0;19300.0;366119300.0
Central Park (The Metropolitan Museum of Art);36.0;61.0;14300.0;366114300.0
Central Park (West 61st);36.0;61.0;14300.0;366114300.0
Central Park (Wollman Rink);36.0;61.0;2602.0;36612602.0
Central Park Delacorte Comfort Station;36.0;61.0;14000.0;366114000.0
Century Playground;36.0;47.0;36002.0;364736002.0
Challenge Playground (PS 187) 251 Street Playground;36.0;81.0;152902.0;3681152902.0
Chelsea Park;36.0;61.0;5800.0;36615800.0
Chelsea Recreation Center;36.0;61.0;9901.0;36619901.0
Cherry Tree (Washington) Playground;36.0;61.0;16600.0;366116600.0
Chester Playground;36.0;47.0;92400.0;364792400.0
Ciccarone Park Playground;36.0;5.0;38900.0;36538900.0
City Line Park;36.0;47.0;119200.0;3647119200.0
Claremont Park;36.0;5.0;22703.0;36522703.0
Claremont Park Playground;36.0;5.0;22500.0;36522500.0
Clark Playground;36.0;5.0;5100.0;3655100.0
Clement Clark Moore Park;36.0;61.0;17100.0;366117100.0
Clintonville Playground (JHS 194);36.0;81.0;102900.0;3681102900.0
Col. Charles Young Playground;36.0;61.0;21400.0;366121400.0
Col. David Marcus Memorial Playground;36.0;47.0;43800.0;364743800.0
Coleman Square Playground;36.0;61.0;600.0;3661600.0
College Point Park;36.0;81.0;90700.0;368190700.0
Colucci Playground;36.0;5.0;30000.0;36530000.0
Columbus Park;36.0;47.0;1100.0;36471100.0
Columbus Park;36.0;61.0;3100.0;36613100.0
Com. John Barry Park & Playground;36.0;47.0;48500.0;364748500.0
Com. John Barry Park & Playground;36.0;47.0;48500.0;364748500.0
Com. John Barry Park & Playground (Athletic Area);36.0;47.0;48500.0;364748500.0
Comm. Eugene S. Sarsfield Playground;36.0;47.0;73800.0;364773800.0
Coney Island;36.0;47.0;36200.0;364736200.0
Coney Island;36.0;47.0;34200.0;364734200.0
Coney Island;36.0;47.0;32800.0;364732800.0
Coney Island Beach;36.0;47.0;44200.0;364744200.0
Coney Island Beach;36.0;47.0;38200.0;364738200.0
Coney Island Beach;36.0;47.0;34800.0;364734800.0
Coney Island Beach;36.0;47.0;32600.0;364732600.0
Conference House Park;36.0;85.0;13203.0;368513203.0
Cooper Park;36.0;47.0;44902.0;364744902.0
Corona Golf Playground;36.0;81.0;23502.0;368123502.0
Corporal John A. Seravalli Playground;36.0;61.0;7900.0;36617900.0
