GEOIDCORRECT;NAME_x;variable;estimate;Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME_y;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX.1;POP100.1;GEOID.1;CENTLAT.1;BLOCK.1;AREAWATER.1;STATE.1;BASENAME.1;OID.1;LSADC.1;INTPTLAT.1;FUNCSTAT.1;NAME.1;OBJECTID.1;TRACT.1;CENTLON.1;BLKGRP.1;AREALAND.1;HU100.1;INTPTLON.1;MTFCC.1;LWBLKTYP.1;UR.1;COUNTY.1;GEOID.2;STATE.2;COUNTY.2;TRACT.2;BLOCK.2
36005038100;Census Tract 381, Bronx County, New York;poverty;7697;Richman (Echo) Park Playground;East 178 Street & Ryer Avenue, Upper Level;Yes;Yes;Bronx;;408.498.739;-73.901.799;;784;3,6005E+14;408.492.851;6001;0;36;6001;2,10701E+14;BK;408.492.851;S;Block 6001;2134521;38100;-739.018.459;6;36936;296;-739.018.459;G5040;L;U;5;;784;3,6005E+14;408.492.851;6001;0;36;6001;2,10701E+14;BK;408.492.851;S;Block 6001;2134521;38100;-739.018.459;6;36936;296;-739.018.459;G5040;L;U;5;3,6005E+14;36;5;38100;6001
36005038100;Census Tract 381, Bronx County, New York;med_inc;38937;Richman (Echo) Park Playground;East 178 Street & Ryer Avenue, Upper Level;Yes;Yes;Bronx;;408.498.739;-73.901.799;;784;3,6005E+14;408.492.851;6001;0;36;6001;2,10701E+14;BK;408.492.851;S;Block 6001;2134521;38100;-739.018.459;6;36936;296;-739.018.459;G5040;L;U;5;;784;3,6005E+14;408.492.851;6001;0;36;6001;2,10701E+14;BK;408.492.851;S;Block 6001;2134521;38100;-739.018.459;6;36936;296;-739.018.459;G5040;L;U;5;3,6005E+14;36;5;38100;6001
36047021500;Census Tract 215, Kings County, New York;population;6271;Stroud Playground;Classon Avenue & Sterling Place;Yes;;Brooklyn;;40.674.013;-7.396.039.189.999.990;;281;3,6047E+14;406.747.659;1000;0;36;1000;2,10701E+14;BK;406.747.659;S;Block 1000;8100963;21500;-739.617.331;1;26653;146;-739.617.331;G5040;L;U;47;;281;3,6047E+14;406.747.659;1000;0;36;1000;2,10701E+14;BK;406.747.659;S;Block 1000;8100963;21500;-739.617.331;1;26653;146;-739.617.331;G5040;L;U;47;3,6047E+14;36;47;21500;1000
36047021500;Census Tract 215, Kings County, New York;poverty;6271;Stroud Playground;Classon Avenue & Sterling Place;Yes;;Brooklyn;;40.674.013;-7.396.039.189.999.990;;281;3,6047E+14;406.747.659;1000;0;36;1000;2,10701E+14;BK;406.747.659;S;Block 1000;8100963;21500;-739.617.331;1;26653;146;-739.617.331;G5040;L;U;47;;281;3,6047E+14;406.747.659;1000;0;36;1000;2,10701E+14;BK;406.747.659;S;Block 1000;8100963;21500;-739.617.331;1;26653;146;-739.617.331;G5040;L;U;47;3,6047E+14;36;47;21500;1000
36047021500;Census Tract 215, Kings County, New York;med_inc;104796;Stroud Playground;Classon Avenue & Sterling Place;Yes;;Brooklyn;;40.674.013;-7.396.039.189.999.990;;281;3,6047E+14;406.747.659;1000;0;36;1000;2,10701E+14;BK;406.747.659;S;Block 1000;8100963;21500;-739.617.331;1;26653;146;-739.617.331;G5040;L;U;47;;281;3,6047E+14;406.747.659;1000;0;36;1000;2,10701E+14;BK;406.747.659;S;Block 1000;8100963;21500;-739.617.331;1;26653;146;-739.617.331;G5040;L;U;47;3,6047E+14;36;47;21500;1000
36061024200;Census Tract 242, New York County, New York;population;5513;Alice Kornegay Triangle;Lexington Avenue, East 128 & East 129 streets;Yes;;Manhattan;;408.063.049;-739.360.262;;488;3,6061E+14;40.806.947;1006;0;36;1006;2,10701E+14;BK;40.806.947;S;Block 1006;2688139;24200;-739.365.991;1;12345;193;-739.365.991;G5040;L;U;61;;488;3,6061E+14;40.806.947;1006;0;36;1006;2,10701E+14;BK;40.806.947;S;Block 1006;2688139;24200;-739.365.991;1;12345;193;-739.365.991;G5040;L;U;61;3,6061E+14;36;61;24200;1006
36061024200;Census Tract 242, New York County, New York;poverty;5500;Alice Kornegay Triangle;Lexington Avenue, East 128 & East 129 streets;Yes;;Manhattan;;408.063.049;-739.360.262;;488;3,6061E+14;40.806.947;1006;0;36;1006;2,10701E+14;BK;40.806.947;S;Block 1006;2688139;24200;-739.365.991;1;12345;193;-739.365.991;G5040;L;U;61;;488;3,6061E+14;40.806.947;1006;0;36;1006;2,10701E+14;BK;40.806.947;S;Block 1006;2688139;24200;-739.365.991;1;12345;193;-739.365.991;G5040;L;U;61;3,6061E+14;36;61;24200;1006
36061024200;Census Tract 242, New York County, New York;med_inc;37115;Alice Kornegay Triangle;Lexington Avenue, East 128 & East 129 streets;Yes;;Manhattan;;408.063.049;-739.360.262;;488;3,6061E+14;40.806.947;1006;0;36;1006;2,10701E+14;BK;40.806.947;S;Block 1006;2688139;24200;-739.365.991;1;12345;193;-739.365.991;G5040;L;U;61;;488;3,6061E+14;40.806.947;1006;0;36;1006;2,10701E+14;BK;40.806.947;S;Block 1006;2688139;24200;-739.365.991;1;12345;193;-739.365.991;G5040;L;U;61;3,6061E+14;36;61;24200;1006
36061019600;Census Tract 196, New York County, New York;population;3910;Marcus Garvey Park (Pool);Madison Avenue, East 120 to East 124 streets;No;;Manhattan;;408.037.062;-739.379.199;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;3,6061E+14;36;61;19600;3002
36061019600;Census Tract 196, New York County, New York;population;3910;Wagner Pool;East 124 Street between 1 & 2 Avenues;No;;Manhattan;;408.037.062;-739.379.199;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;3,6061E+14;36;61;19600;3002
