GEOIDCORRECT,NAME_x,variable,estimate,Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME_y,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,SUFFIX.1,POP100.1,GEOID.1,CENTLAT.1,BLOCK.1,AREAWATER.1,STATE.1,BASENAME.1,OID.1,LSADC.1,INTPTLAT.1,FUNCSTAT.1,NAME.1,OBJECTID.1,TRACT.1,CENTLON.1,BLKGRP.1,AREALAND.1,HU100.1,INTPTLON.1,MTFCC.1,LWBLKTYP.1,UR.1,COUNTY.1,GEOID.2,STATE.2,COUNTY.2,TRACT.2,BLOCK.2
36081055200,"Census Tract 552, Queens County, New York",poverty,2941,Tall Oak Playground,"64 Avenue, 218 & 219 streets",Yes,,Queens,,40.7285784,-73.7448869,,73,360810552002002,40.7287081,2002,0,36,2002,210701006104849,BK,40.7287081,S,Block 2002,1023346,055200,-73.7453115,2,7816,25,-73.7453115,G5040,L,U,081,,73,360810552002002,40.7287081,2002,0,36,2002,210701006104849,BK,40.7287081,S,Block 2002,1023346,55200,-73.7453115,2,7816,25,-73.7453115,G5040,L,U,81,360810552002002,36,81,55200,2002
36081055200,"Census Tract 552, Queens County, New York",med_inc,75511,East Springfield Playground,115 Road between 218 & 219 streets,Yes,,Queens,,40.7285784,-73.7448869,,73,360810552002002,40.7287081,2002,0,36,2002,210701006104849,BK,40.7287081,S,Block 2002,1023346,055200,-73.7453115,2,7816,25,-73.7453115,G5040,L,U,081,,73,360810552002002,40.7287081,2002,0,36,2002,210701006104849,BK,40.7287081,S,Block 2002,1023346,55200,-73.7453115,2,7816,25,-73.7453115,G5040,L,U,81,360810552002002,36,81,55200,2002
36081055200,"Census Tract 552, Queens County, New York",med_inc,75511,Tall Oak Playground,"64 Avenue, 218 & 219 streets",Yes,,Queens,,40.7285784,-73.7448869,,73,360810552002002,40.7287081,2002,0,36,2002,210701006104849,BK,40.7287081,S,Block 2002,1023346,055200,-73.7453115,2,7816,25,-73.7453115,G5040,L,U,081,,73,360810552002002,40.7287081,2002,0,36,2002,210701006104849,BK,40.7287081,S,Block 2002,1023346,55200,-73.7453115,2,7816,25,-73.7453115,G5040,L,U,81,360810552002002,36,81,55200,2002
36061016600,"Census Tract 166, New York County, New York",population,5752,Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,,Manhattan,,40.7877698,-73.9474512,,991,360610166003000,40.7884048,3000,0,36,3000,210701008621637,BK,40.7884048,S,Block 3000,2844276,016600,-73.9480319,3,12324,288,-73.9480319,G5040,L,U,061,,991,360610166003000,40.7884048,3000,0,36,3000,210701008621637,BK,40.7884048,S,Block 3000,2844276,16600,-73.9480319,3,12324,288,-73.9480319,G5040,L,U,61,360610166003000,36,61,16600,3000
36061016600,"Census Tract 166, New York County, New York",poverty,5655,Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,,Manhattan,,40.7877698,-73.9474512,,991,360610166003000,40.7884048,3000,0,36,3000,210701008621637,BK,40.7884048,S,Block 3000,2844276,016600,-73.9480319,3,12324,288,-73.9480319,G5040,L,U,061,,991,360610166003000,40.7884048,3000,0,36,3000,210701008621637,BK,40.7884048,S,Block 3000,2844276,16600,-73.9480319,3,12324,288,-73.9480319,G5040,L,U,61,360610166003000,36,61,16600,3000
36061016600,"Census Tract 166, New York County, New York",med_inc,,Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,,Manhattan,,40.7877698,-73.9474512,,991,360610166003000,40.7884048,3000,0,36,3000,210701008621637,BK,40.7884048,S,Block 3000,2844276,016600,-73.9480319,3,12324,288,-73.9480319,G5040,L,U,061,,991,360610166003000,40.7884048,3000,0,36,3000,210701008621637,BK,40.7884048,S,Block 3000,2844276,16600,-73.9480319,3,12324,288,-73.9480319,G5040,L,U,61,360610166003000,36,61,16600,3000
36047045000,"Census Tract 450, Kings County, New York",population,982,Greenwood Playground,"Fort Hamilton Parkway, Greenwood, East 5 Street",Yes,,Brooklyn,,40.6225636,-73.9715601,,180,360470450001001,40.6214052,1001,0,36,1001,210701004654149,BK,40.6214052,S,Block 1001,5613215,045000,-73.9725889,1,166658,61,-73.9725889,G5040,L,U,047,,180,360470450001001,40.6214052,1001,0,36,1001,210701004654149,BK,40.6214052,S,Block 1001,5613215,45000,-73.9725889,1,166658,61,-73.9725889,G5040,L,U,47,360470450001001,36,47,45000,1001
36047045000,"Census Tract 450, Kings County, New York",population,982,McDonald Playground,"Mcdonald Avenue, between avenues S & T",Yes,,Brooklyn,,40.6224668,-73.9755775,,253,360470450001004,40.6225329,1004,0,36,1004,210701004651874,BK,40.6225329,S,Block 1004,8105789,045000,-73.9750414,1,25034,64,-73.9750414,G5040,L,U,047,,253,360470450001004,40.6225329,1004,0,36,1004,210701004651874,BK,40.6225329,S,Block 1004,8105789,45000,-73.9750414,1,25034,64,-73.9750414,G5040,L,U,47,360470450001004,36,47,45000,1004
36047045000,"Census Tract 450, Kings County, New York",poverty,982,Greenwood Playground,"Fort Hamilton Parkway, Greenwood, East 5 Street",Yes,,Brooklyn,,40.6225636,-73.9715601,,180,360470450001001,40.6214052,1001,0,36,1001,210701004654149,BK,40.6214052,S,Block 1001,5613215,045000,-73.9725889,1,166658,61,-73.9725889,G5040,L,U,047,,180,360470450001001,40.6214052,1001,0,36,1001,210701004654149,BK,40.6214052,S,Block 1001,5613215,45000,-73.9725889,1,166658,61,-73.9725889,G5040,L,U,47,360470450001001,36,47,45000,1001
36047045000,"Census Tract 450, Kings County, New York",poverty,982,McDonald Playground,"Mcdonald Avenue, between avenues S & T",Yes,,Brooklyn,,40.6224668,-73.9755775,,253,360470450001004,40.6225329,1004,0,36,1004,210701004651874,BK,40.6225329,S,Block 1004,8105789,045000,-73.9750414,1,25034,64,-73.9750414,G5040,L,U,047,,253,360470450001004,40.6225329,1004,0,36,1004,210701004651874,BK,40.6225329,S,Block 1004,8105789,45000,-73.9750414,1,25034,64,-73.9750414,G5040,L,U,47,360470450001004,36,47,45000,1004
36047045000,"Census Tract 450, Kings County, New York",med_inc,75446,Greenwood Playground,"Fort Hamilton Parkway, Greenwood, East 5 Street",Yes,,Brooklyn,,40.6225636,-73.9715601,,180,360470450001001,40.6214052,1001,0,36,1001,210701004654149,BK,40.6214052,S,Block 1001,5613215,045000,-73.9725889,1,166658,61,-73.9725889,G5040,L,U,047,,180,360470450001001,40.6214052,1001,0,36,1001,210701004654149,BK,40.6214052,S,Block 1001,5613215,45000,-73.9725889,1,166658,61,-73.9725889,G5040,L,U,47,360470450001001,36,47,45000,1001
36047045000,"Census Tract 450, Kings County, New York",med_inc,75446,McDonald Playground,"Mcdonald Avenue, between avenues S & T",Yes,,Brooklyn,,40.6224668,-73.9755775,,253,360470450001004,40.6225329,1004,0,36,1004,210701004651874,BK,40.6225329,S,Block 1004,8105789,045000,-73.9750414,1,25034,64,-73.9750414,G5040,L,U,047,,253,360470450001004,40.6225329,1004,0,36,1004,210701004651874,BK,40.6225329,S,Block 1004,8105789,45000,-73.9750414,1,25034,64,-73.9750414,G5040,L,U,47,360470450001004,36,47,45000,1004
36047019300,"Census Tract 193, Kings County, New York",population,5684,Pratt Playground,"Willoughby Avenue, Emerson Place",Yes,,Brooklyn,,40.6923048,-73.9618988,,527,360470193001000,40.6931448,1000,0,36,1000,210701004655232,BK,40.6931448,S,Block 1000,5615889,019300,-73.9614824,1,17257,140,-73.9614824,G5040,L,U,047,,527,360470193001000,40.6931448,1000,0,36,1000,210701004655232,BK,40.6931448,S,Block 1000,5615889,19300,-73.9614824,1,17257,140,-73.9614824,G5040,L,U,47,360470193001000,36,47,19300,1000
36047019300,"Census Tract 193, Kings County, New York",poverty,4156,Pratt Playground,"Willoughby Avenue, Emerson Place",Yes,,Brooklyn,,40.6923048,-73.9618988,,527,360470193001000,40.6931448,1000,0,36,1000,210701004655232,BK,40.6931448,S,Block 1000,5615889,019300,-73.9614824,1,17257,140,-73.9614824,G5040,L,U,047,,527,360470193001000,40.6931448,1000,0,36,1000,210701004655232,BK,40.6931448,S,Block 1000,5615889,19300,-73.9614824,1,17257,140,-73.9614824,G5040,L,U,47,360470193001000,36,47,19300,1000
36047019300,"Census Tract 193, Kings County, New York",med_inc,67000,Pratt Playground,"Willoughby Avenue, Emerson Place",Yes,,Brooklyn,,40.6923048,-73.9618988,,527,360470193001000,40.6931448,1000,0,36,1000,210701004655232,BK,40.6931448,S,Block 1000,5615889,019300,-73.9614824,1,17257,140,-73.9614824,G5040,L,U,047,,527,360470193001000,40.6931448,1000,0,36,1000,210701004655232,BK,40.6931448,S,Block 1000,5615889,19300,-73.9614824,1,17257,140,-73.9614824,G5040,L,U,47,360470193001000,36,47,19300,1000
36005008500,"Census Tract 85, Bronx County, New York",population,5706,Playground Fifty-Two,"Kelly Street, St. John's Avenue, Beck Street",Yes,,Bronx,,40.8167927,-73.8982574,,749,360050085002002,40.8167755,2002,0,36,2002,210701006028780,BK,40.8167755,S,Block 2002,1626015,008500,-73.8988662,2,15409,196,-73.8988662,G5040,L,U,005,,749,360050085002002,40.8167755,2002,0,36,2002,210701006028780,BK,40.8167755,S,Block 2002,1626015,8500,-73.8988662,2,15409,196,-73.8988662,G5040,L,U,5,360050085002002,36,5,8500,2002
36005008500,"Census Tract 85, Bronx County, New York",poverty,5539,Playground Fifty-Two,"Kelly Street, St. John's Avenue, Beck Street",Yes,,Bronx,,40.8167927,-73.8982574,,749,360050085002002,40.8167755,2002,0,36,2002,210701006028780,BK,40.8167755,S,Block 2002,1626015,008500,-73.8988662,2,15409,196,-73.8988662,G5040,L,U,005,,749,360050085002002,40.8167755,2002,0,36,2002,210701006028780,BK,40.8167755,S,Block 2002,1626015,8500,-73.8988662,2,15409,196,-73.8988662,G5040,L,U,5,360050085002002,36,5,8500,2002
36005008500,"Census Tract 85, Bronx County, New York",med_inc,33065,Playground Fifty-Two,"Kelly Street, St. John's Avenue, Beck Street",Yes,,Bronx,,40.8167927,-73.8982574,,749,360050085002002,40.8167755,2002,0,36,2002,210701006028780,BK,40.8167755,S,Block 2002,1626015,008500,-73.8988662,2,15409,196,-73.8988662,G5040,L,U,005,,749,360050085002002,40.8167755,2002,0,36,2002,210701006028780,BK,40.8167755,S,Block 2002,1626015,8500,-73.8988662,2,15409,196,-73.8988662,G5040,L,U,5,360050085002002,36,5,8500,2002
36005016500,"Census Tract 165, Bronx County, New York",population,1074,Crotona Park (Pool House),173rd Street and Fulton Avenue,Yes,Yes,Bronx,,40.8406852,-73.8982801,,0,360050165001022,40.8415104,1022,0,36,1022,210701006026342,BK,40.8415104,S,Block 1022,2131481,016500,-73.8983244,1,13541,0,-73.8983244,G5040,L,U,005,,0,360050165001022,40.8415104,1022,0,36,1022,210701006026342,BK,40.8415104,S,Block 1022,2131481,16500,-73.8983244,1,13541,0,-73.8983244,G5040,L,U,5,360050165001022,36,5,16500,1022
