Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,GEOID,STATE,COUNTY,TRACT,BLOCK
Claremont Park Playground,E 170 Street & Teller Avenue,Yes,,Bronx,,40.83714459999999,-73.90964439999999,,223,360050225003000,+40.8377811,3000,0,36,3000,210701006017270,BK,+40.8377811,S,Block 3000,2133887,022500,-073.9097213,3,12211,59,-073.9097213,G5040,L,U,005,,223,360050225003000,+40.8377811,3000,0,36,3000,210701006017270,BK,+40.8377811,S,Block 3000,2133887,022500,-073.9097213,3,12211,59,-073.9097213,G5040,L,U,005,360050225003000,36,005,022500,3000
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Yes,Yes,Bronx,,40.8137524,-73.9220586,,2234,360050051003000,+40.8150787,3000,0,36,3000,210701006027033,BK,+40.8150787,S,Block 3000,1475572,005100,-073.9227018,3,57486,874,-073.9227018,G5040,L,U,005,,2234,360050051003000,+40.8150787,3000,0,36,3000,210701006027033,BK,+40.8150787,S,Block 3000,1475572,005100,-073.9227018,3,57486,874,-073.9227018,G5040,L,U,005,360050051003000,36,005,005100,3000
Clement Clark Moore Park,Broadway & 83 Street,Yes,,Queens,,40.7864684,-73.9781615,,360,360610171003002,+40.7869945,3002,0,36,3002,210701008621250,BK,+40.7869945,S,Block 3002,2836768,017100,-073.9784379,3,9499,161,-073.9784379,G5040,L,U,061,,360,360610171003002,+40.7869945,3002,0,36,3002,210701008621250,BK,+40.7869945,S,Block 3002,2836768,017100,-073.9784379,3,9499,161,-073.9784379,G5040,L,U,061,360610171003002,36,061,017100,3002
Clintonville Playground (JHS 194),"Clintonville Street, 17 Road & 17 Avenue",Yes,,Queens,,40.782644,-73.807704,,872,360811029002001,+40.7816893,2001,0,36,2001,210701006110243,BK,+40.7816893,S,Block 2001,1231758,102900,-073.8054841,2,81376,295,-073.8054841,G5040,L,U,081,,872,360811029002001,+40.7816893,2001,0,36,2001,210701006110243,BK,+40.7816893,S,Block 2001,1231758,102900,-073.8054841,2,81376,295,-073.8054841,G5040,L,U,081,360811029002001,36,081,102900,2001
Col. Charles Young Playground,West 144 Street & Lenox Avenue,Yes,,Manhattan,,40.8197453,-73.9366594,,14,360610214001000,+40.8191909,1000,0,36,1000,210701008621701,BK,+40.8191909,S,Block 1000,4642991,021400,-073.9355131,1,38244,1,-073.9355131,G5040,L,U,061,,14,360610214001000,+40.8191909,1000,0,36,1000,210701008621701,BK,+40.8191909,S,Block 1000,4642991,021400,-073.9355131,1,38244,1,-073.9355131,G5040,L,U,061,360610214001000,36,061,021400,1000
Col. David Marcus Memorial Playground,"Ocean Parkway, Avenue P, East 3 Street",Yes,,Brooklyn,,40.60940009999999,-73.9677351,,0,360470438001000,+40.6106603,1000,0,36,1000,210701004648524,BK,+40.6106603,S,Block 1000,5847731,043800,-073.9680416,1,6497,0,-073.9680416,G5040,L,U,047,,0,360470438001000,+40.6106603,1000,0,36,1000,210701004648524,BK,+40.6106603,S,Block 1000,5847731,043800,-073.9680416,1,6497,0,-073.9680416,G5040,L,U,047,360470438001000,36,047,043800,1000
Coleman Square Playground,Between Cherry & Monroe streets,Yes,,Manhattan,,40.7119365,-73.9902829,,1035,360610006002000,+40.7122102,2000,0,36,2000,210701008618698,BK,+40.7122102,S,Block 2000,3459300,000600,-073.9910612,2,15184,481,-073.9910612,G5040,L,U,061,,1035,360610006002000,+40.7122102,2000,0,36,2000,210701008618698,BK,+40.7122102,S,Block 2000,3459300,000600,-073.9910612,2,15184,481,-073.9910612,G5040,L,U,061,360610006002000,36,061,000600,2000
College Point Park,130th Street & 23rd Avenue,Yes,,Queens,,40.778612,-73.83886439999999,,250,360810907001004,+40.7776157,1004,0,36,1004,210701006111059,BK,+40.7776157,S,Block 1004,2011903,090700,-073.8393725,1,17041,85,-073.8393725,G5040,L,U,081,,250,360810907001004,+40.7776157,1004,0,36,1004,210701006111059,BK,+40.7776157,S,Block 1004,2011903,090700,-073.8393725,1,17041,85,-073.8393725,G5040,L,U,081,360810907001004,36,081,090700,1004
Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Yes,,Bronx,,40.851854,-73.83375699999999,,286,360050300005001,+40.8507345,5001,0,36,5001,210701006029333,BK,+40.8507345,S,Block 5001,2133827,030000,-073.8343293,5,19471,104,-073.8343293,G5040,L,U,005,,286,360050300005001,+40.8507345,5001,0,36,5001,210701006029333,BK,+40.8507345,S,Block 5001,2133827,030000,-073.8343293,5,19471,104,-073.8343293,G5040,L,U,005,360050300005001,36,005,030000,5001
Columbus Park,"Adams, Johnson, Fulton, Joralemon streets",Yes,,Brooklyn,,40.6946376,-73.9891075,,15,360470011001003,+40.6937088,1003,0,36,1003,210701004648359,BK,+40.6937088,S,Block 1003,4617731,001100,-073.9898138,1,42121,1,-073.9898138,G5040,L,U,047,,15,360470011001003,+40.6937088,1003,0,36,1003,210701004648359,BK,+40.6937088,S,Block 1003,4617731,001100,-073.9898138,1,42121,1,-073.9898138,G5040,L,U,047,360470011001003,36,047,001100,1003
Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Yes,Yes,Manhattan,,40.715784,-74.0034483,,676,360610031001010,+40.7161232,1010,0,36,1010,210701008620187,BK,+40.7161232,S,Block 1010,3664030,003100,-074.0036790,1,6622,477,-074.0036790,G5040,L,U,061,,676,360610031001010,+40.7161232,1010,0,36,1010,210701008620187,BK,+40.7161232,S,Block 1010,3664030,003100,-074.0036790,1,6622,477,-074.0036790,G5040,L,U,061,360610031001010,36,061,003100,1010
Com. John Barry Park & Playground,South of Flushing Avenue,Yes,,Brooklyn,,40.7019208,-73.9369454,,79,360470485002010,+40.7026355,2010,0,36,2010,210701004650409,BK,+40.7026355,S,Block 2010,4611408,048500,-073.9356785,2,22720,38,-073.9356785,G5040,L,U,047,,79,360470485002010,+40.7026355,2010,0,36,2010,210701004650409,BK,+40.7026355,S,Block 2010,4611408,048500,-073.9356785,2,22720,38,-073.9356785,G5040,L,U,047,360470485002010,36,047,048500,2010
Com. John Barry Park & Playground,South of Flushing Avenue,No,,Brooklyn,,40.7019208,-73.9369454,,79,360470485002010,+40.7026355,2010,0,36,2010,210701004650409,BK,+40.7026355,S,Block 2010,4611408,048500,-073.9356785,2,22720,38,-073.9356785,G5040,L,U,047,,79,360470485002010,+40.7026355,2010,0,36,2010,210701004650409,BK,+40.7026355,S,Block 2010,4611408,048500,-073.9356785,2,22720,38,-073.9356785,G5040,L,U,047,360470485002010,36,047,048500,2010
Com. John Barry Park & Playground (Athletic Area),South of Flushing Avenue,No,,Brooklyn,,40.7019208,-73.9369454,,79,360470485002010,+40.7026355,2010,0,36,2010,210701004650409,BK,+40.7026355,S,Block 2010,4611408,048500,-073.9356785,2,22720,38,-073.9356785,G5040,L,U,047,,79,360470485002010,+40.7026355,2010,0,36,2010,210701004650409,BK,+40.7026355,S,Block 2010,4611408,048500,-073.9356785,2,22720,38,-073.9356785,G5040,L,U,047,360470485002010,36,047,048500,2010
Comm. Eugene S. Sarsfield Playground,"East 38 Street & Ryder Street, Avenue M",Yes,,Brooklyn,,40.6205565,-73.9370131,,232,360470738003001,+40.6212059,3001,0,36,3001,210701004657625,BK,+40.6212059,S,Block 3001,5613223,073800,-073.9376614,3,12316,78,-073.9376614,G5040,L,U,047,,232,360470738003001,+40.6212059,3001,0,36,3001,210701004657625,BK,+40.6212059,S,Block 3001,5613223,073800,-073.9376614,3,12316,78,-073.9376614,G5040,L,U,047,360470738003001,36,047,073800,3001
Coney Island,Brighton 2nd,,Yes,Brooklyn,,40.5769054,-73.9651278,,64,360470362003007,+40.5770204,3007,0,36,3007,210701004653761,BK,+40.5770204,S,Block 3007,5935542,036200,-073.9656162,3,4822,10,-073.9656162,G5040,L,U,047,,64,360470362003007,+40.5770204,3007,0,36,3007,210701004653761,BK,+40.5770204,S,Block 3007,5935542,036200,-073.9656162,3,4822,10,-073.9656162,G5040,L,U,047,360470362003007,36,047,036200,3007
Coney Island,W 27 ST.,,Yes,Brooklyn,,40.5743972,-73.9930305,,1664,360470342001000,+40.5744492,1000,0,36,1000,210701004651999,BK,+40.5744492,S,Block 1000,6401733,034200,-073.9930325,1,50569,617,-073.9930325,G5040,L,U,047,,1664,360470342001000,+40.5744492,1000,0,36,1000,210701004651999,BK,+40.5744492,S,Block 1000,6401733,034200,-073.9930325,1,50569,617,-073.9930325,G5040,L,U,047,360470342001000,36,047,034200,1000
Coney Island,W 33 St.,,Yes,Brooklyn,,40.5765001,-73.9998987,,161,360470328003001,+40.5760567,3001,0,36,3001,210701004650623,BK,+40.5760567,S,Block 3001,4611963,032800,-074.0003574,3,23090,46,-074.0003574,G5040,L,U,047,,161,360470328003001,+40.5760567,3001,0,36,3001,210701004650623,BK,+40.5760567,S,Block 3001,4611963,032800,-074.0003574,3,23090,46,-074.0003574,G5040,L,U,047,360470328003001,36,047,032800,3001
Coney Island Beach,Corbin Place to Coney Island Avenue,Yes,,Brooklyn,,40.6136033,-73.9631313,,432,360470442001000,+40.6138208,1000,0,36,1000,210701004651606,BK,+40.6138208,S,Block 1000,5845974,044200,-073.9636083,1,25385,154,-073.9636083,G5040,L,U,047,,432,360470442001000,+40.6138208,1000,0,36,1000,210701004651606,BK,+40.6138208,S,Block 1000,5845974,044200,-073.9636083,1,25385,154,-073.9636083,G5040,L,U,047,360470442001000,36,047,044200,1000
Coney Island Beach,Stillwell Avenue,Yes,Yes,Brooklyn,,40.5907914,-73.9841274,,221,360470382001002,+40.5901536,1002,0,36,1002,210701004651993,BK,+40.5901536,S,Block 1002,6401727,038200,-073.9835066,1,20111,61,-073.9835066,G5040,L,U,047,,221,360470382001002,+40.5901536,1002,0,36,1002,210701004651993,BK,+40.5901536,S,Block 1002,6401727,038200,-073.9835066,1,20111,61,-073.9835066,G5040,L,U,047,360470382001002,36,047,038200,1002
Coney Island Beach,West 16th Street,No,Yes,Brooklyn,,40.5799537,-73.984322,,485,360470348001027,+40.5805504,1027,0,36,1027,210701004652018,BK,+40.5805504,S,Block 1027,6403660,034800,-073.9838751,1,29450,119,-073.9838751,G5040,L,U,047,,485,360470348001027,+40.5805504,1027,0,36,1027,210701004652018,BK,+40.5805504,S,Block 1027,6403660,034800,-073.9838751,1,29450,119,-073.9838751,G5040,L,U,047,360470348001027,36,047,034800,1027
Coney Island Beach,W 22 ST.,No,Yes,Brooklyn,,40.5761548,-73.9890093,,735,360470326002002,+40.5753305,2002,0,36,2002,210701004652013,BK,+40.5753305,S,Block 2002,6402346,032600,-073.9883253,2,18026,242,-073.9883253,G5040,L,U,047,,735,360470326002002,+40.5753305,2002,0,36,2002,210701004652013,BK,+40.5753305,S,Block 2002,6402346,032600,-073.9883253,2,18026,242,-073.9883253,G5040,L,U,047,360470326002002,36,047,032600,2002
Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",,Yes,Staten Island,This facility is currently closed,40.5464584,-74.1414633,,75,360850132032013,+40.5462647,2013,0,36,2013,210701004606960,BK,+40.5462647,S,Block 2013,8079107,013203,-074.1425278,2,16963,33,-074.1425278,G5040,L,U,085,,75,360850132032013,+40.5462647,2013,0,36,2013,210701004606960,BK,+40.5462647,S,Block 2013,8079107,013203,-074.1425278,2,16963,33,-074.1425278,G5040,L,U,085,360850132032013,36,085,013203,2013
Cooper Park,"Sharon, Olive streets, Maspeth & Morgan avenues",Yes,,Brooklyn,,40.7167763,-73.9363177,,0,360470449022004,+40.7162411,2004,0,36,2004,210701004650115,BK,+40.7162411,S,Block 2004,4608974,044902,-073.9351793,2,25789,0,-073.9351793,G5040,L,U,047,,0,360470449022004,+40.7162411,2004,0,36,2004,210701004650115,BK,+40.7162411,S,Block 2004,4608974,044902,-073.9351793,2,25789,0,-073.9351793,G5040,L,U,047,360470449022004,36,047,044902,2004
Corona Golf Playground,109 Street between 46-47 avenues,Yes,,Queens,,40.7412266,-73.9183522,,390,360810235022001,+40.7417294,2001,0,36,2001,210701006108467,BK,+40.7417294,S,Block 2001,1737992,023502,-073.9184822,2,11171,185,-073.9184822,G5040,L,U,081,,390,360810235022001,+40.7417294,2001,0,36,2001,210701006108467,BK,+40.7417294,S,Block 2001,1737992,023502,-073.9184822,2,11171,185,-073.9184822,G5040,L,U,081,360810235022001,36,081,023502,2001
Corporal John A. Seravalli Playground,Hudson & Horatio streets,Yes,,Manhattan,,40.7387624,-74.0054984,,106,360610079004002,+40.7391206,4002,0,36,4002,210701008621391,BK,+40.7391206,S,Block 4002,3348532,007900,-074.0059705,4,6805,52,-074.0059705,G5040,L,U,061,,106,360610079004002,+40.7391206,4002,0,36,4002,210701008621391,BK,+40.7391206,S,Block 4002,3348532,007900,-074.0059705,4,6805,52,-074.0059705,G5040,L,U,061,360610079004002,36,061,007900,4002
Corporal Thompson Park,"Broadway, Henderson Avenue",No,,Staten Island,,40.636654,-74.117699,,1631,360850133011000,+40.6355984,1000,0,36,1000,210701004608627,BK,+40.6355984,S,Block 1000,6910438,013301,-074.1189103,1,67337,604,-074.1189103,G5040,L,U,085,,1631,360850133011000,+40.6355984,1000,0,36,1000,210701004608627,BK,+40.6355984,S,Block 1000,6910438,013301,-074.1189103,1,67337,604,-074.1189103,G5040,L,U,085,360850133011000,36,085,013301,1000
Corporal Thompson Park/West Brighton Pool,"Broadway, Henderson Avenue",No,Yes,Staten Island,,40.636654,-74.117699,,1631,360850133011000,+40.6355984,1000,0,36,1000,210701004608627,BK,+40.6355984,S,Block 1000,6910438,013301,-074.1189103,1,67337,604,-074.1189103,G5040,L,U,085,,1631,360850133011000,+40.6355984,1000,0,36,1000,210701004608627,BK,+40.6355984,S,Block 1000,6910438,013301,-074.1189103,1,67337,604,-074.1189103,G5040,L,U,085,360850133011000,36,085,013301,1000
Crocheron Park Field House,"34th Avenue, 214th Place, 34th Road, 214th Lane, 35th Avenue, & 216th Street",Yes,,Queens,,40.776662,-73.7702967,,279,360811093002000,+40.7770963,2000,0,36,2000,210701006109082,BK,+40.7770963,S,Block 2000,2943601,109300,-073.7690733,2,87082,49,-073.7690733,G5040,L,U,081,,279,360811093002000,+40.7770963,2000,0,36,2000,210701006109082,BK,+40.7770963,S,Block 2000,2943601,109300,-073.7690733,2,87082,49,-073.7690733,G5040,L,U,081,360811093002000,36,081,109300,2000
Crotona Park (Martin Van Buren Playground),Crotona East & Claremont Parkway,Yes,,Bronx,,40.83649550000001,-73.89776599999999,,0,360050163001002,+40.8399859,1002,0,36,1002,210701006029266,BK,+40.8399859,S,Block 1002,1867307,016300,-073.8971305,1,172488,0,-073.8971305,G5040,L,U,005,,0,360050163001002,+40.8399859,1002,0,36,1002,210701006029266,BK,+40.8399859,S,Block 1002,1867307,016300,-073.8971305,1,172488,0,-073.8971305,G5040,L,U,005,360050163001002,36,005,016300,1002
Crotona Park (Playground of the Stars),Fulton Avenue & Crotona Park South,Yes,,Bronx,,40.8354996,-73.9012832,,328,360050147022004,+40.8352674,2004,0,36,2004,210701006026329,BK,+40.8352674,S,Block 2004,2140201,014702,-073.9023770,2,16503,119,-073.9023770,G5040,L,U,005,,328,360050147022004,+40.8352674,2004,0,36,2004,210701006026329,BK,+40.8352674,S,Block 2004,2140201,014702,-073.9023770,2,16503,119,-073.9023770,G5040,L,U,005,360050147022004,36,005,014702,2004
Crotona Park (Pool House),173rd Street and Fulton Avenue,Yes,Yes,Bronx,,40.8406852,-73.8982801,,0,360050165001022,+40.8415104,1022,0,36,1022,210701006026342,BK,+40.8415104,S,Block 1022,2131481,016500,-073.8983244,1,13541,0,-073.8983244,G5040,L,U,005,,0,360050165001022,+40.8415104,1022,0,36,1022,210701006026342,BK,+40.8415104,S,Block 1022,2131481,016500,-073.8983244,1,13541,0,-073.8983244,G5040,L,U,005,360050165001022,36,005,016500,1022
Crotona Park Environmental Center,"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",Yes,,Bronx,,40.8413665,-73.8927009,,256,360050369022003,+40.8416682,2003,0,36,2003,210701006029269,BK,+40.8416682,S,Block 2003,1867310,036902,-073.8923363,2,9755,147,-073.8923363,G5040,L,U,005,,256,360050369022003,+40.8416682,2003,0,36,2003,210701006029269,BK,+40.8416682,S,Block 2003,1867310,036902,-073.8923363,2,9755,147,-073.8923363,G5040,L,U,005,360050369022003,36,005,036902,2003
Crowley Playground,57 Avenue & 83 Street,Yes,,Queens,,40.7297203,-73.88007879999999,,550,360810499003005,+40.7309158,3005,0,36,3005,210701006115380,BK,+40.7309158,S,Block 3005,3762154,049900,-073.8809056,3,22021,183,-073.8809056,G5040,L,U,081,,550,360810499003005,+40.7309158,3005,0,36,3005,210701006115380,BK,+40.7309158,S,Block 3005,3762154,049900,-073.8809056,3,22021,183,-073.8809056,G5040,L,U,081,360810499003005,36,081,049900,3005
Cunningham Park,"Union Turnpike, Clearview Expressway, 73rd Avenue, Francis Lewis Boulevard",Yes,,Queens,,40.7363079,-73.77279759999999,,0,360811283001003,+40.7402038,1003,0,36,1003,210701006115347,BK,+40.7402038,S,Block 1003,3501108,128300,-073.7721213,1,291027,0,-073.7721213,G5040,L,U,081,,0,360811283001003,+40.7402038,1003,0,36,1003,210701006115347,BK,+40.7402038,S,Block 1003,3501108,128300,-073.7721213,1,291027,0,-073.7721213,G5040,L,U,081,360811283001003,36,081,128300,1003
Cunningham Park (210th Street Playground),210 Street & 73 Avenue,Yes,,Queens,,40.7391723,-73.7635976,,1130,360811291031003,+40.7387438,1003,0,36,1003,210701006105538,BK,+40.7387438,S,Block 1003,2941684,129103,-073.7612420,1,78518,717,-073.7612420,G5040,L,U,081,,1130,360811291031003,+40.7387438,1003,0,36,1003,210701006105538,BK,+40.7387438,S,Block 1003,2941684,129103,-073.7612420,1,78518,717,-073.7612420,G5040,L,U,081,360811291031003,36,081,129103,1003
Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",Yes,Yes,Queens,,40.7241362,-73.7639261,,1209,360810478011000,+40.7216411,1000,0,36,1000,210701006114246,BK,+40.7216411,S,Block 1000,3118214,047801,-073.7632663,1,127031,597,-073.7632663,G5040,L,U,081,,1209,360810478011000,+40.7216411,1000,0,36,1000,210701006114246,BK,+40.7216411,S,Block 1000,3118214,047801,-073.7632663,1,127031,597,-073.7632663,G5040,L,U,081,360810478011000,36,081,047801,1000
Cypress Hills Park,Blake & Euclid avenues,Yes,,Brooklyn,,40.676033,-73.8720666,,77,360471196002001,+40.6761040,2001,0,36,2001,210701004653412,BK,+40.6761040,S,Block 2001,8102350,119600,-073.8716114,2,11360,19,-073.8716114,G5040,L,U,047,,77,360471196002001,+40.6761040,2001,0,36,2001,210701004653412,BK,+40.6761040,S,Block 2001,8102350,119600,-073.8716114,2,11360,19,-073.8716114,G5040,L,U,047,360471196002001,36,047,119600,2001
Daniel M. O'Connell Playground,113 Avenue & 196 Street,Yes,,Queens,,40.700413,-73.7588353,,0,360810522001008,+40.6998700,1008,0,36,1008,210701006107084,BK,+40.6998700,S,Block 1008,1844706,052200,-073.7581005,1,12530,0,-073.7581005,G5040,L,U,081,,0,360810522001008,+40.6998700,1008,0,36,1008,210701006107084,BK,+40.6998700,S,Block 1008,1844706,052200,-073.7581005,1,12530,0,-073.7581005,G5040,L,U,081,360810522001008,36,081,052200,1008
De Witt Clinton Park,"West 52 to West 54 streets, 11 to 12 avenues",Yes,Yes,Manhattan,,40.7607432,-74.0020717,,0,360610117003002,+40.7610793,3002,0,36,3002,210701008618141,BK,+40.7610793,S,Block 3002,3354385,011700,-074.0019543,3,1702,0,-074.0019543,G5040,L,U,061,,0,360610117003002,+40.7610793,3002,0,36,3002,210701008618141,BK,+40.7610793,S,Block 3002,3354385,011700,-074.0019543,3,1702,0,-074.0019543,G5040,L,U,061,360610117003002,36,061,011700,3002
Dematti Playground,"Tompkins Avenue, Chestnut Avenue",Yes,,Staten Island,,40.615587,-74.0735771,,140,360850008001005,+40.6164177,1005,0,36,1005,210701004605430,BK,+40.6164177,S,Block 1005,4828791,000800,-074.0721481,1,25044,53,-074.0721481,G5040,L,U,085,,140,360850008001005,+40.6164177,1005,0,36,1005,210701004605430,BK,+40.6164177,S,Block 1005,4828791,000800,-074.0721481,1,25044,53,-074.0721481,G5040,L,U,085,360850008001005,36,085,000800,1005
Detective Keith L. Williams Park,"106 Avenue, 173 Street, Liberty Avenue, 172 Street",Yes,,Queens,,40.704192,-73.78598219999999,,30,360810444003016,+40.7043573,3016,0,36,3016,210701006116652,BK,+40.7043573,S,Block 3016,1851929,044400,-073.7865169,3,21462,3,-073.7865169,G5040,L,U,081,,30,360810444003016,+40.7043573,3016,0,36,3016,210701006116652,BK,+40.7043573,S,Block 3016,1851929,044400,-073.7865169,3,21462,3,-073.7865169,G5040,L,U,081,360810444003016,36,081,044400,3016
Devoe Park,"West Fordham Road, University Avenue, Sedgwick Avenue, Father Zeiser Place",Yes,,Bronx,,40.8637387,-73.9056412,,1863,360050263003000,+40.8643908,3000,0,36,3000,210701006028051,BK,+40.8643908,S,Block 3000,1341546,026300,-073.9052788,3,31371,613,-073.9052788,G5040,L,U,005,,1863,360050263003000,+40.8643908,3000,0,36,3000,210701006028051,BK,+40.8643908,S,Block 3000,1341546,026300,-073.9052788,3,31371,613,-073.9052788,G5040,L,U,005,360050263003000,36,005,026300,3000
Digilio Playground,McDonald Avenue & Avenue F,Yes,,Brooklyn,,40.6331689,-73.9776328,,405,360470478003005,+40.6342957,3005,0,36,3005,210701004653101,BK,+40.6342957,S,Block 3005,5845995,047800,-073.9783596,3,24748,106,-073.9783596,G5040,L,U,047,,405,360470478003005,+40.6342957,3005,0,36,3005,210701004653101,BK,+40.6342957,S,Block 3005,5845995,047800,-073.9783596,3,24748,106,-073.9783596,G5040,L,U,047,360470478003005,36,047,047800,3005
Dimattina Playground,Hicks & Rapelye streets,Yes,,Brooklyn,,40.6805621,-74.0029059,,0,360470063002004,+40.6798988,2004,0,36,2004,210701004655004,BK,+40.6798988,S,Block 2004,6659890,006300,-074.0027830,2,10223,0,-074.0027830,G5040,L,U,047,,0,360470063002004,+40.6798988,2004,0,36,2004,210701004655004,BK,+40.6798988,S,Block 2004,6659890,006300,-074.0027830,2,10223,0,-074.0027830,G5040,L,U,047,360470063002004,36,047,006300,2004
Ditmars Park Playground,23 Avenue to Ditmars Boulevard,Yes,,Queens,,40.7689979,-73.8893335,,235,360810317003000,+40.7699006,3000,0,36,3000,210701006108238,BK,+40.7699006,S,Block 3000,805270,031700,-073.8893705,3,18011,87,-073.8893705,G5040,L,U,081,,235,360810317003000,+40.7699006,3000,0,36,3000,210701006108238,BK,+40.7699006,S,Block 3000,805270,031700,-073.8893705,3,18011,87,-073.8893705,G5040,L,U,081,360810317003000,36,081,031700,3000
Double Nickel Playground,Osborne Street and Preston Avenue,Yes,Yes,Staten Island,,40.5369547,-74.1617987,,74,360850156021012,+40.5380242,1012,0,36,1012,210701004607617,BK,+40.5380242,S,Block 1012,7574255,015602,-074.1621897,1,18787,33,-074.1621897,G5040,L,U,085,,74,360850156021012,+40.5380242,1012,0,36,1012,210701004607617,BK,+40.5380242,S,Block 1012,7574255,015602,-074.1621897,1,18787,33,-074.1621897,G5040,L,U,085,360850156021012,36,085,015602,1012
Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",Yes,,Manhattan,,40.7305359,-74.00172789999999,,0,360610067002000,+40.7302337,2000,0,36,2000,210701008620290,BK,+40.7302337,S,Block 2000,2853377,006700,-074.0020971,2,2344,0,-074.0020971,G5040,L,U,061,,0,360610067002000,+40.7302337,2000,0,36,2000,210701008620290,BK,+40.7302337,S,Block 2000,2853377,006700,-074.0020971,2,2344,0,-074.0020971,G5040,L,U,061,360610067002000,36,061,006700,2000
Dr. Charles R. Drew Memorial Park,"Van Wyck Expressway, 116 Avenue, 140 Street, 115 Avenue",Yes,,Queens,,40.6801011,-73.8017272,,167,360810188001007,+40.6810914,1007,0,36,1007,210701006106986,BK,+40.6810914,S,Block 1007,1022718,018800,-073.8017409,1,16389,50,-073.8017409,G5040,L,U,081,,167,360810188001007,+40.6810914,1007,0,36,1007,210701006106986,BK,+40.6810914,S,Block 1007,1022718,018800,-073.8017409,1,16389,50,-073.8017409,G5040,L,U,081,360810188001007,36,081,018800,1007
Dr. Martin Luther King Jr. Park,"Dumont, Blake, Miller avenues",Yes,,Brooklyn,,40.6707374,-73.8907346,,308,360471158001000,+40.6706209,1000,0,36,1000,210701004652517,BK,+40.6706209,S,Block 1000,5614515,115800,-073.8911787,1,11281,107,-073.8911787,G5040,L,U,047,,308,360471158001000,+40.6706209,1000,0,36,1000,210701004652517,BK,+40.6706209,S,Block 1000,5614515,115800,-073.8911787,1,11281,107,-073.8911787,G5040,L,U,047,360471158001000,36,047,115800,1000
Dr. Richard Greene Playground,Mother Gaston Boulevard (Stone Avenue) & Sutter avenues,Yes,,Brooklyn,,40.6693045,-73.9019022,,0,360470908002000,+40.6696078,2000,0,36,2000,210701004656000,BK,+40.6696078,S,Block 2000,5608473,090800,-073.9024650,2,23708,0,-073.9024650,G5040,L,U,047,,0,360470908002000,+40.6696078,2000,0,36,2000,210701004656000,BK,+40.6696078,S,Block 2000,5608473,090800,-073.9024650,2,23708,0,-073.9024650,G5040,L,U,047,360470908002000,36,047,090800,2000
Drew Playground,"Fulton Avenue, East 169 Street",Yes,,Bronx,,40.8322219,-73.9034334,,762,360050147012000,+40.8336430,2000,0,36,2000,210701006026330,BK,+40.8336430,S,Block 2000,2140202,014701,-073.9034539,2,42278,213,-073.9034539,G5040,L,U,005,,762,360050147012000,+40.8336430,2000,0,36,2000,210701006026330,BK,+40.8336430,S,Block 2000,2140202,014701,-073.9034539,2,42278,213,-073.9034539,G5040,L,U,005,360050147012000,36,005,014701,2000
Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",No,,Manhattan,,40.7253338,-73.9762191,,585,360610028004003,+40.7258965,4003,0,36,4003,210701008620745,BK,+40.7258965,S,Block 4003,3356153,002800,-073.9766564,4,9527,357,-073.9766564,G5040,L,U,061,,585,360610028004003,+40.7258965,4003,0,36,4003,210701008620745,BK,+40.7258965,S,Block 4003,3356153,002800,-073.9766564,4,9527,357,-073.9766564,G5040,L,U,061,360610028004003,36,061,002800,4003
Dugan Playground,Mill Road & Tysens Lane,Yes,,Staten Island,,40.5614573,-74.11225089999999,,154,360850128065014,+40.5614353,5014,0,36,5014,210701004607779,BK,+40.5614353,S,Block 5014,8080972,012806,-074.1108386,5,29748,47,-074.1108386,G5040,L,U,085,,154,360850128065014,+40.5614353,5014,0,36,5014,210701004607779,BK,+40.5614353,S,Block 5014,8080972,012806,-074.1108386,5,29748,47,-074.1108386,G5040,L,U,085,360850128065014,36,085,012806,5014
Dutch Kills Playground (PS 112),"Crescent-28 streets, 36 Avenue, 37 Avenue",Yes,,Queens,,40.7566048,-73.92966849999999,,294,360810053004003,+40.7571702,4003,0,36,4003,210701006112458,BK,+40.7571702,S,Block 4003,3502944,005300,-073.9287271,4,15898,148,-073.9287271,G5040,L,U,081,,294,360810053004003,+40.7571702,4003,0,36,4003,210701006112458,BK,+40.7571702,S,Block 4003,3502944,005300,-073.9287271,4,15898,148,-073.9287271,G5040,L,U,081,360810053004003,36,081,005300,4003
