Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,GEOID,STATE,COUNTY,TRACT,BLOCK
Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",Yes,,Bronx,,40.8646021,-73.8501102,,164,360050318001004,+40.8637259,1004,0,36,1004,210701006027273,BK,+40.8637259,S,Block 1004,1337765,031800,-073.8509032,1,13034,67,-073.8509032,G5040,L,U,005,,164,360050318001004,+40.8637259,1004,0,36,1004,210701006027273,BK,+40.8637259,S,Block 1004,1337765,031800,-073.8509032,1,13034,67,-073.8509032,G5040,L,U,005,360050318001004,36,005,031800,1004
Alley Park (PS 213),67 Avenue & 230 Street,Yes,,Queens,,40.7474777,-73.74679549999999,,199,360811377003008,+40.7483835,3008,0,36,3008,210701006113696,BK,+40.7483835,S,Block 3008,1392478,137700,-073.7477112,3,19357,56,-073.7477112,G5040,L,U,081,,199,360811377003008,+40.7483835,3008,0,36,3008,210701006113696,BK,+40.7483835,S,Block 3008,1392478,137700,-073.7477112,3,19357,56,-073.7477112,G5040,L,U,081,360811377003008,36,081,137700,3008
Alley Pond Park,"Entrance off Grand Central Parkway, includes athletic fields and picnic areas",Yes,,Queens,,40.7288021,-73.7724884,,0,360811283001016,+40.7279473,1016,0,36,1016,210701006107509,BK,+40.7279473,S,Block 1016,386559,128300,-073.7725088,1,484818,0,-073.7725088,G5040,L,U,081,,0,360811283001016,+40.7279473,1016,0,36,1016,210701006107509,BK,+40.7279473,S,Block 1016,386559,128300,-073.7725088,1,484818,0,-073.7725088,G5040,L,U,081,360811283001016,36,081,128300,1016
Alley Pond Park (Alley Athletic Field),"Grand Central Parkway, Winchester Boulevard, &Union Turnpike",Yes,,Queens,,40.7389383,-73.7338075,,0,360811567001008,+40.7395521,1008,0,36,1008,210701006107049,BK,+40.7395521,S,Block 1008,1739206,156700,-073.7365088,1,191680,0,-073.7365088,G5040,L,U,081,,0,360811567001008,+40.7395521,1008,0,36,1008,210701006107049,BK,+40.7395521,S,Block 1008,1739206,156700,-073.7365088,1,191680,0,-073.7365088,G5040,L,U,081,360811567001008,36,081,156700,1008
Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",Yes,,Queens,,40.7424131,-73.75347339999999,,142,360811377004008,+40.7430725,4008,0,36,4008,210701006105697,BK,+40.7430725,S,Block 4008,1842064,137700,-073.7532620,4,10867,44,-073.7532620,G5040,L,U,081,,142,360811377004008,+40.7430725,4008,0,36,4008,210701006105697,BK,+40.7430725,S,Block 4008,1842064,137700,-073.7532620,4,10867,44,-073.7532620,G5040,L,U,081,360811377004008,36,081,137700,4008
Alley Pond Park (Horatio Playground),Horatio Parkway and 50 Avenue,Yes,,Queens,,40.758242,-73.7531759,,72,360811385011001,+40.7580246,1001,0,36,1001,210701006111991,BK,+40.7580246,S,Block 1001,2642711,138501,-073.7516532,1,20069,29,-073.7516532,G5040,L,U,081,,72,360811385011001,+40.7580246,1001,0,36,1001,210701006111991,BK,+40.7580246,S,Block 1001,2642711,138501,-073.7516532,1,20069,29,-073.7516532,G5040,L,U,081,360811385011001,36,081,138501,1001
Alstyne Playground,Alystine Avenue & 102 Street,Yes,,Queens,,40.7435603,-73.8616416,,329,360810413001001,+40.7438509,1001,0,36,1001,210701006110956,BK,+40.7438509,S,Block 1001,1739255,041300,-073.8608666,1,12787,93,-073.8608666,G5040,L,U,081,,329,360810413001001,+40.7438509,1001,0,36,1001,210701006110956,BK,+40.7438509,S,Block 1001,1739255,041300,-073.8608666,1,12787,93,-073.8608666,G5040,L,U,081,360810413001001,36,081,041300,1001
American Playground,"Noble, Franklin Milton Streets",Yes,Yes,Brooklyn,,40.7291647,-73.957469,,480,360470565001006,+40.7289836,1006,0,36,1006,210701004654731,BK,+40.7289836,S,Block 1006,5615191,056500,-073.9556169,1,24340,254,-073.9556169,G5040,L,U,047,,480,360470565001006,+40.7289836,1006,0,36,1006,210701004654731,BK,+40.7289836,S,Block 1006,5615191,056500,-073.9556169,1,24340,254,-073.9556169,G5040,L,U,047,360470565001006,36,047,056500,1006
Ampere Playground (PS 64),101 Avenue & 82 Street,Yes,,Queens,,40.68113230000001,-73.8570474,,430,360810042001006,+40.6818411,1006,0,36,1006,210701006109020,BK,+40.6818411,S,Block 1006,2941691,004200,-073.8578857,1,15484,122,-073.8578857,G5040,L,U,081,,430,360810042001006,+40.6818411,1006,0,36,1006,210701006109020,BK,+40.6818411,S,Block 1006,2941691,004200,-073.8578857,1,15484,122,-073.8578857,G5040,L,U,081,360810042001006,36,081,004200,1006
Andrews Playground,"49 Avenue, Vernon Boulevard, 5 Street",No,,Queens,,40.743407,-73.95437390000001,,145,360810007011002,+40.7433000,1002,0,36,1002,210701006105141,BK,+40.7433000,S,Block 1002,1272139,000701,-073.9551571,1,16119,87,-073.9551571,G5040,L,U,081,,145,360810007011002,+40.7433000,1002,0,36,1002,210701006105141,BK,+40.7433000,S,Block 1002,1272139,000701,-073.9551571,1,16119,87,-073.9551571,G5040,L,U,081,360810007011002,36,081,000701,1002
