Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude
Franz Sigel Park,"East 153 Street, Gerard Avenue, East 151 Street, Walton Avenue",Yes,Yes,Bronx,,40.8211188,-73.9274767
Frederick B. Judge Memorial Playground,"111 Avenue, 134 & 135 streets, Lincoln Street",Yes,,Queens,,40.6842499,-73.8087431
Frederick Douglass Playground,West 100-101 Street Amsterdam Avenue,Yes,,Manhattan,,40.794506,-73.962471
Frederick E. Samuel Playground,"Lenox Avenue, West 139 to West 140 streets",Yes,,Manhattan,,40.8205972,-73.9464625
Frederick Johnson Park,"7 Avenue, West 150-151 streets",Yes,,Manhattan,,40.8247877,-73.93667409999999
Fresh Meadows Playground (PS 173),67 Avenue & 173 Street,Yes,,Queens,,40.7346299,-73.7966447
Friends Field,"Avenue L, East 4 Street, McDonald Avenue, Avenue M",Yes,,Brooklyn,,40.61915,-73.971864
Fulton Park,"Fulton, Chauncey streets, Stuyvesant, Lewis avenues",Yes,,Brooklyn,,40.6797339,-73.9328673
Galapo Playground,"Bedford Avenue, Gravesend Neck Road",Yes,,Brooklyn,,40.5984016,-73.94634769999999
Garibaldi Playground,82 to 83 Street at 18 Avenue,Yes,,Brooklyn,,40.6088642,-74.00065920000002
General Douglas MacArthur Park,East 49 Street & East River Drive,Yes,,Manhattan,,40.752536,-73.9649056
Glenwood Playground,Ralph Avenue & Farragut Road,Yes,Yes,Brooklyn,,40.6374886,-73.91916549999999
Gorman Playground,30 Avenue between 84 & 85 streets,Yes,,Queens,,40.6960515,-73.8597557
Gouverneur Playground,"3rd Avenue, St. Paul's Place, East 170 Street",Yes,,Bronx,,40.8356545,-73.9055843
Gowanus Playground,Wyckoff Street between Bond & Hoyt streets,Yes,,Brooklyn,,40.6849851,-73.9880604
Grandview Playground,"Grandview Avenue, Continental Place",Yes,Yes,Staten Island,,40.630585,-74.16523699999999
Gravesend Park,18 Avenue & 56 Street,Yes,,Brooklyn,,40.6243308,-73.98497680000001
Greencroft Playground (PS 53),"Redgrave, Ainsworth & Durant avenues",Yes,,Staten Island,,40.5520083,-74.1380009
Greene Playground,Greene & Washington avenues,Yes,,Brooklyn,,40.6867499,-73.9655358
Greenwood Playground,"Fort Hamilton Parkway, Greenwood, East 5 Street",Yes,,Brooklyn,,40.6225636,-73.9715601
Grove Hill Playground,"East 158 Street, Caldwell Avenue, Eagle Avenue",Yes,,Bronx,,40.8223113,-73.9148502
Grover Cleveland Park,"Rene Court, Grandview Avenue, Stanjope Street & Fairview Avenue",Yes,,Queens,,40.712214,-73.91116199999999
Gun Hill Playground,"Holland Avenue, Magenta Street, Cueger Avenue",Yes,,Bronx,,40.87493,-73.864975
Gunn Park (PS 18),"Hillside Avenue, east of 235 Court",No,,Queens,,40.7189325,-73.7645067
Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",Yes,,Bronx,,40.8724622,-73.83998319999999
Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",No,,Bronx,,40.8724622,-73.83998319999999
Haggerty Park,202 Street & Jamaica Avenue,No,Yes,Queens,,40.7134288,-73.7592054
Hallets Cove Playground,"Hallets Cove, Vernon Boulevard",Yes,,Queens,,40.77179040000001,-73.9343288
Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,Yes,Yes,Manhattan,,40.7221373,-73.985796
Hamilton-Metz Field,"Albany, East New York, Lefferts avenues",Yes,,Brooklyn,,40.6590529,-73.8759245
Hammel Playground,Rockaway Beach Blvd. Bet. Beach 84 St. And Beach 81 St.,,Yes,Queens,,40.5878132,-73.8068966
Happy Warrior Playground,West 98 Street & Amsterdam Avenue,Yes,,Manhattan,,40.795361,-73.969415
Harold Schneiderman Playground (PS 232),155 Avenue & 83 Street,Yes,Yes,Queens,,40.6645092,-73.850875
Harris Park,"West 205 Street, Paul Avenue, Bedford Pk B, Goulden Avenue",Yes,,Bronx,,40.877126,-73.8928913
Harry Maze Memorial Park,Avenue D between East 56 & East 57 Street,Yes,,Brooklyn,,40.7571883,-73.96025949999999
Hart Playground,"37 Avenue, west of 69 Street",Yes,,Queens,,40.7501911,-73.8801257
Harvey Park,"15 to 20 avenues, East of Whitestone Expressway",Yes,,Queens,,40.7811132,-73.8121079
Hattie Carthan Playground,East of Marcy Street,Yes,,Brooklyn,,40.6974587,-73.9496202
Havemeyer Playground,"Watson Avenue, Havenuemeyer Avenue, Cross Bronx Expressway",No,,Bronx,,40.828049,-73.863572
Heckscher Playground,Grove Street to Linden Street,Yes,Yes,Brooklyn,,40.7007031,-73.9122271
Henry Hudson Park,"Palisade Avenue, Kappock Street & Independence Avenue",Yes,,Bronx,,40.8827947,-73.9202619
Herbert Von King Park,"Greene, Marcy, Lafayette, Tompkins avenues",Yes,Yes,Brooklyn,,40.6905638,-73.94536049999999
Herman Dolgon Playground,Avenue V & Nostrand Avenue,Yes,,Brooklyn,,40.5983108,-73.9414827
Hermon MacNeil Park,East of paved path running north from 119th Street,Yes,,Queens,,40.7817983,-73.8486582
High Rock Park,Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,,Staten Island,,40.588548,-74.1446221
High Rock Park (Education Building),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,,Staten Island,,40.588548,-74.1446221
High Rock Park (McArthur Park),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,Yes,Staten Island,,40.588548,-74.1446221
High Rock Park (Visitor Center),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,,Staten Island,,40.588548,-74.1446221
Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,Yes,,Manhattan,,40.8474255,-73.93140350000002
Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",Yes,,Manhattan,,40.8645387,-73.9266358
Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,Yes,Yes,Manhattan,,40.8524934,-73.9277036
Highbridge Park-Wallenberg Playground,W 189 St & Amsterdam Ave,,Yes,Manhattan,,40.853124,-73.9272569
Highland Park,Jackie Robinson Parkway to Highland Boulevard,Yes,,Queens,,40.6829998,-73.8915027
Hoffman Park,Hoffman Drive west of Queens Boulevard,Yes,,Queens,,40.7333031,-73.8725475
Holcombe Rucker,"West 155 Street, 8 Avenue to Harlem River Drive",Yes,,Manhattan,,40.8278431,-73.9346673
Hollis Playground (JHS 192),205 Street & Hollis Avenue,No,,Queens,,40.7069743,-73.75283019999999
Holy Cow Playground (PS 179),Peck Avenue & Harding Boulevard,No,,Queens,,40.7440579,-73.7871133
Hoover Playground,Manton Street & 83 Avenue,Yes,,Queens,,40.7125497,-73.8210617
Horace Harding Playground (PS 206),62 Drive between 97 Place & 98 Street,Yes,,Queens,,40.7271346,-73.8680487
Horseshoe Playground,"Hall Place, Rogers Place, East 165 Street",Yes,,Bronx,,40.8238496,-73.8973039
Howard Bennett Playground,"West 135 to West 136 streets, Lenox to 5 avenues",Yes,,Manhattan,,40.7744146,-73.9656177
Hunts Point Playground,"Spofford Avenue, Hunts Point Avenue, Faile Street",Yes,,Bronx,,40.815914,-73.887085
Inwood Hill Park (Nature Center),Gaelic Field and Area around Salt Marsh West of Indian Road (at 218th Street),Yes,,Manhattan,,40.8716065,-73.9150554
Inwood Hill Park (Payson Playground),Payson & Dyckman streets,Yes,,Manhattan,,40.8667472,-73.9287258
Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,Yes,,Manhattan,,40.8710264,-73.9192303
J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",Yes,Yes,Manhattan,,40.84213949999999,-73.9422811
J.J. Byrne Memorial Park,"3 to 4 streets, 4 to 5 avenues",Yes,,Brooklyn,,40.6498711,-74.0053756
Jackie Robinson Park,Malcolm X Boulevard between Chauncey and Marion streets,Yes,Yes,Brooklyn,,40.6809619,-73.9181759
Jackie Robinson Park,West 149 Street & Bradhurst Avenue,Yes,,Manhattan,,40.8257929,-73.9410556
Jackie Robinson Park (Playground One Fifty Two CLII),West 152 Street & Bradhurst Avenue,Yes,,Manhattan,,40.8276846,-73.9396757
Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",Yes,Yes,Manhattan,,40.8309147,-73.9414249
Jackie Robinson Playground,"Sullivan Place & Franklin Avenue, Montgomery Street",Yes,,Brooklyn,,40.6662639,-73.95955959999999
Jacob Schiff Playground (PS 192),"Amsterdam Avenue, West 136 Street",Yes,,Manhattan,,40.8195841,-73.95174829999999
James J. Walker Park (Carmine Recreation Center),"Hudson, Leroy, Clarkson Streets, 7 Avenue",Yes,,Manhattan,,40.7296395,-74.0084028
Jesse Owens Playground,Stuyvesant & Lafayette avenues,Yes,Yes,Brooklyn,,40.6918995,-73.9338283
John Golden Park,"215 Place, south of 32 Avenue",No,Yes,Queens,,40.7696412,-73.8065075
John J. Carty Park,"Fort Hamilton Parkway, 94-95 streets",Yes,,Brooklyn,,40.6156341,-74.0287151
John Jay Park & Pool,East 76-East 78 streets & Cherokee Place,Yes,,Manhattan,,40.77495380000001,-73.96149679999999
John Paul Jones Park,"Shore Parkway, Fort Hamilton Parkway, 101 Street",Yes,,Brooklyn,,40.6111563,-74.0325481
Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",No,,Staten Island,,40.5062126,-74.2349127
Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",No,Yes,Staten Island,,40.5062126,-74.2349127
Joseph Austin Playground,Grand Central Parkway & 164 Place,Yes,,Queens,,40.7165322,-73.8019198
Joseph F. Mafera Park,65 Place & Catalpa Avenue & 68 Avenue,Yes,,Queens,,40.70534990000001,-73.8916486
Julio Carballo Field,"Lafayette Avenue, Manda Street",Yes,,Bronx,,40.8224911,-73.8551476
Juniper Valley Park,Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end,Yes,Yes,Queens,,40.7432725,-73.8897272
Juniper Valley Park (North Playground Tennis),62nd Avenue & 80th Street,Yes,,Queens,,40.7231038,-73.8776718
K.L. Williams Playground (Tennis),"Liberty Avenue, 172-173 streets",Yes,,Queens,,40.7046003,-73.7854301
Kaiser Park,"South of Gravesend Bay, southeast of Path, northeast of Neptune Avenue",Yes,,Brooklyn,,40.5792604,-73.9819541
Katzman Playground,Yellowstone Boulevard between 68 Avenue & 68 Road,Yes,,Queens,,40.7225571,-73.8520846
Kennedy King Playground,East 93 Street & Lenox Road,Yes,,Brooklyn,,40.6574779,-73.9214116
Kennedy Playground,Corp. Kennedy Street & 33 Avenue,Yes,,Queens,,40.7706178,-73.77970789999999
Kissena Corridor East (Underhill Playground),Peck Avenue & 188 Street,Yes,,Queens,,40.7444463,-73.7883899
Kissena Park,"Oak Avenue, 104th Street, & Kissena Lake Area",Yes,,Queens,,40.7506548,-73.862104
Kissena Park (Tennis Courts),Rose & Oak avenues,Yes,,Queens,,40.7503423,-73.8100499
La Guardia Playground West,"Havemeyer, Roebling streets & South 4",Yes,,Brooklyn,,40.7132122,-73.95635229999999
Lawerence Virgilio Playground,39 Drive & 54 Street,Yes,Yes,Queens,,40.7468643,-73.90967429999999
Leif Ericson Park & Square,CLF behind CS adjacent to 5th Avenue to 7th Avenue(Highway) between 66th and 67th Street,Yes,,Brooklyn,,41.4366615,-81.7321771
Levy Playground,Jewett & Castleton avenues,Yes,,Staten Island,,40.6336676,-74.129475
Liberty Pool,173rd Street and 106th Avenue,,Yes,Queens,,40.70204529999999,-73.7831305
Lincoln Terrace Park,Buffalo Avenue/Protal Street/New York Avenue,Yes,,Brooklyn,,40.666332,-73.92471300000001
Lincoln Terrace Park (Arthur S. Somers Playground),"East New York, Rochester avenues, Eastern Parkway,Buffalo Avenue",Yes,,Brooklyn,,40.6688668,-73.9283312
Linden Park,"Stanley Avenue, Linden Boulevard",Yes,,Brooklyn,,40.6579899,-73.8961789
Linden Park,104 Street & 41 Avenue,Yes,,Queens,,40.749307,-73.861407
Lindower Park,"Mill & Strickland avenues, 60 Street",Yes,,Brooklyn,,40.6113786,-73.9130391
Little Flower Playground,Madison Street opposite Jefferson Street,No,Yes,Manhattan,,40.7126087,-73.990517
London Planetree Playground,"88 Street, Atlantic-95 avenues",Yes,,Queens,,40.6866195,-73.85396089999999
Loreto Park Playground,"Morris Park Avenue, Haight Avenue, Tomlinson Avenue, Van Nest Avenue",Yes,,Bronx,,40.848601,-73.851218
Loring Field,North Conduit & 149 Avenue,Yes,,Queens,,40.6671078,-73.8124888
Lost Battalion Hall,Queens Boulevard between 62 Avenue & 62 Road,Yes,,Queens,,40.7140394,-73.89959999999999
Lou Lodati Playground,Skillman Avenue & 43 Street,Yes,,Queens,,40.7468885,-73.92080659999999
Louis Armstrong Playground (PS 143),37 Avenue between 112 & 113 streets,No,Yes,Queens,,40.7501911,-73.8801257
Louis Pasteur Park,248 Street & 51 Avenue,Yes,,Queens,,40.7620682,-73.73607539999999
Lozada Playground,"East 135 Street, Willis Avenue, Alexander Avenue",Yes,,Bronx,,40.8072114,-73.92432029999999
Luna Park Playground,West 12 Street & Surf Avenue,Yes,,Brooklyn,,40.57548329999999,-73.97963899999999
Lyons Pool,"Pier 6, Victory Boulevard",No,Yes,Staten Island,,40.6375608,-74.074486
Macombs Dam Park,East 161th Street & Ruppert Place,Yes,,Bronx,,40.8245063,-73.9148575
Magenta Playground,"Olinville Avenue, Rosewood Street",Yes,Yes,Bronx,,40.8732408,-73.86820689999999
Mahoney Playground,Beechwood & Cleveland avenues,Yes,,Staten Island,,40.6440795,-74.0856941
Mapes Pool,"East 180 Street, Mapes & Prospect avenues",Yes,,Bronx,,40.8465184,-73.88563909999999
Maple Playground,Kissena Boulevard & Maple Avenue,No,Yes,Queens,,40.7563615,-73.8258127
Marble Hill Playground,"Marble Hill Avenue, West 230 Street, West 228 Street",No,,Bronx,,40.87830049999999,-73.9080268
Marconi Park,109 Avenue & 155 Street,Yes,,Queens,,40.6924872,-73.7959786
Marc's & Jason's Playground,Sterling Street & Empire Boulevard,Yes,,Brooklyn,,40.6632343,-73.9508962
Marcus Garvey Park (Pelham Fritz Recreation Center),18 Mount Morris Park West,Yes,,Manhattan,,40.8050169,-73.945272
Marcus Garvey Park (Pool),"Madison Avenue, East 120 to East 124 streets",No,,Manhattan,,40.8037062,-73.9379199
Maria Hernandez Park,"Knickerbocker to Irving avenues, Starr to Suydam Streets",Yes,,Brooklyn,,40.7030495,-73.9228108
Marie Curie Park (JHS 158),"211 & Oceana streets, 46 Avenue",Yes,,Queens,,40.755137,-73.7828696
Marine Park,Burnett Street between Avenue U and Avenue X/west of East 33rd Street,Yes,,Brooklyn,,40.590591,-73.9706008
Marine Park Nature Center,East 33rd Street and Avenue U,,Yes,Brooklyn,,40.6050708,-73.9298714
Marion-Hopkinson Playground,Hopkinson Avenue & Marion Street,Yes,,Brooklyn,,40.6814134,-73.9141835
Markham Playground,"Willowbrook Parkway, Forest Avenue & Houston Street",Yes,Yes,Staten Island,,40.569727,-74.1314386
Martin Luther King Houses,"Lenox Avenue, West 113 to West 114 streets",Yes,,Manhattan,,40.8000798,-73.9510414
Martinez Playground,"Scholes Street, Graham Avenue",Yes,,Brooklyn,,40.7087885,-73.9434505
Mathew Muliner Playground,"Delancy Place, Muliner Avenue, Matthews Avenue",Yes,Yes,Bronx,,40.8472985,-73.86114839999999
Maurice A. Fitzgerald Playground,Atlantic Avenue & 106 Street,Yes,,Queens,,40.690781,-73.83926939999999
Maurice Park,"Maurice, Borden, 54 avenues, 63 Street",Yes,,Queens,,40.7273749,-73.90312
May Matthews Playground,West 45 Street between 9 & 10 avenues,Yes,,Manhattan,,40.7595716,-73.9893629
Mazzei Playground,"Mace Avenue, Williamsbridge Road",Yes,,Bronx,,40.8630438,-73.8580616
McCaffrey Playground,"West 43 Street, 8 & 9 avenues",Yes,,Manhattan,,40.7692123,-73.9847724
McCarren Park,12th Street/Driggs Avenue/Lorimer Street/Bedford Avenue,Yes,,Brooklyn,,40.72348400000001,-73.95164989999999
McDonald Playground,"Mcdonald Avenue, between avenues S & T",Yes,,Brooklyn,,40.6224668,-73.9755775
McDonald Playground,"Forest Avenue, Myrtle Avenue between Broadway & Burgher",Yes,,Staten Island,,40.7594235,-73.9850933
McKinley Park,"Fort Hamilton Parkway, 73 to 78 streets, 7 Avenue",Yes,,Brooklyn,,40.6248744,-74.0196314
McKinley Playground,"Avenue A, East 3-East 4 streets",No,,Manhattan,,40.7238277,-73.9850428
McLaughlin Park,"Tillary Street, Jay Street, Cathedral Place, Bridge Street",Yes,,Brooklyn,,40.6959514,-73.9866012
Mellett Playground,Avenue V between East 13 & East 14 streets,Yes,,Brooklyn,,40.735744,-73.99250219999999
Metropolitan Pool,Southeast corner of Bedford & Metropolitan avenues,Yes,,Brooklyn,,40.7153113,-73.9604365
Michaelis-Bayswater Park,"Beach Channel Drive, B 32 Street, Dwight Avenue, Norton Avenue",Yes,Yes,Queens,,40.5987494,-73.7660029
Midland Beach & Boardwalk,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Yes,Yes,Staten Island,This facility is currently closed,40.5901264,-74.077152
Midland Field,Midland Avenue & Mason Avenue,,Yes,Staten Island,Closed from 7:30 - 3:30p during the schoolyear.,40.5747762,-74.097614
Midland Playground,Lincoln & Mason avenues,Yes,,Staten Island,,40.5740084,-74.09855270000001
Millbrook Playground,"East 135 Street, Cypress Avenue",Yes,Yes,Bronx,,40.8037164,-73.91584619999999
Monsignor Mcgolrick Park,"Driggs to Nassau avenues, Russell to Monitor streets",Yes,,Brooklyn,,40.7257971,-73.9426335
Montbellier Park,Springfield Boulevard & 139 Avenue,No,,Queens,,40.673374,-73.7562501
Morningside Park,West 123 Street & Morningside Avenue,Yes,Yes,Manhattan,,40.8101043,-73.9550259
Morningside Park,"Athletic Fields and Lawns from 114th Street to 110th Street along Manhattan Avenue, East of Upper Path",Yes,,Manhattan,,40.802479,-73.9586849
Morningside Playground,West 117 Street & Morningside Avenue,Yes,,Manhattan,,40.8063273,-73.9577683
Mosholu Playground (PS 8),"Mosholu Pkwy, Bainbridge Avenue, Briggs Avenue",Yes,,Bronx,,40.8725909,-73.8812487
Mott Playground,"Morris Avenue, College Avenue, Mc Clellan Street",Yes,,Bronx,,40.8331698,-73.919043
Msgnr. Kett,West 204 Street & Nagle Avenue,Yes,,Manhattan,,40.8631267,-73.9206234
Mt. Prospect Park,"Eastern Parkway, Underhill Avenue",Yes,,Brooklyn,,40.6729124,-73.9675413
Mullaly Park (Skate Building),"East 164 Street, Jerome Avenue, Macombs Dam Bridge, East 162 Street, River Avenue",Yes,,Bronx,,40.8282007,-73.9311955
Murray Playground,"21 Street, 45 Avenue, 11 Street, 45 Road",No,,Queens,,40.7484184,-73.95235699999999
Nautilus Playground,Merrick & Baisley boulevards,Yes,,Queens,,40.6837256,-73.7697634
Nelson Playground,"West 166 Street, Nelson Avenue, Woodycrest Avenue",Yes,,Bronx,,40.8353466,-73.9269937
Newport Playground,Newport Avenue & Osborn Street,Yes,,Brooklyn,,40.661308,-73.9066622
Noble Playground,"Nobel Avenue, Bronx River Avenue, Bronx River Parkway, Cross Bronx Expressway",No,,Bronx,,40.836716,-73.87557199999999
Noonan Playground,"Greenpoint & 47 avenues, 43 Street",Yes,,Queens,,40.7411181,-73.9211238
North Rochdale Playground (PS 30),Baisley Boulevard & Bedell Street,Yes,,Queens,,40.6805257,-73.7747327
Nostrand Playground,Nostrand & Foster avenues,Yes,,Brooklyn,,40.6386085,-73.9482713
Ocean Hill Playground,"Bergen Street, Rockaway Avenue, Dean Street",Yes,,Brooklyn,,40.674412,-73.911209
Old Town Playground,"Parkinson Avenue, Kramer Street",Yes,,Staten Island,,40.5956608,-74.0821534
Oracle Playground,Adelphi & Myrtle avenues,Yes,,Brooklyn,,40.69321,-73.97187199999999
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",No,,Bronx,,40.823965,-73.8771406
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,Yes,Bronx,,40.823965,-73.8771406
Orville & Wilbur Playground,West 156 Street & St. Nicholas Avenue,Yes,,Manhattan,,40.8280385,-73.9424401
Osborn Playground,Linden Boulevard & Osborn Street,Yes,,Brooklyn,,40.6551791,-73.9050931
Owen Dolen Recreation Center,"Westchester Avenue, Lane Avenue, East Tremont Avenue",Yes,,Bronx,,40.8410341,-73.8644818
P.O. Nicholas Demutis Playground,102 Street & Liberty Avenue,Yes,,Queens,,40.68143630000001,-73.8386586
P.O. Serrano Playground,"Turnbull Avenue, Olmstead Avenue, Lafayette Avenue",Yes,,Bronx,,40.8235982,-73.8522496
Paerdegat Park,"Foster Avenue, East 40-41 streets",Yes,,Brooklyn,,40.6392065,-73.938741
Painters Playground (PS 174),Alderton Street from Dieterle to Elwell Crescents,Yes,,Queens,,40.7221496,-73.8646069
Park Slope Playground,Berkeley Street & Lincoln Place,Yes,,Brooklyn,,40.6706976,-73.9493059
Parkside Playground,"Arnow Avenue, Adee Avenue, Olinville Avenue",Yes,Yes,Bronx,,40.8696847,-73.8682359
Parkside Playground,"Parkside, Bedford & Rogers avenues",Yes,,Brooklyn,,40.655293,-73.96149400000002
Pat Perlato Playground,Falmouth Street & Oriental Avenue,Yes,,Brooklyn,This facility is currently closed. ,40.5776585,-73.9463002
Paul W. Kolbert Park/Rachel Haber Cohen Playground,"Avenue L, East 17 to East 18 streets",Yes,,Brooklyn,,40.6183283,-73.9571888
Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,,Bronx,,40.823965,-73.8771406
Pelham Bay Park (Bruckner CS),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,,Bronx,,40.823965,-73.8771406
Pelham Bay Park (Hunter Island Picnic Area),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,Yes,Bronx,,40.823965,-73.8771406
Pelham Bay Park (Playground for All Children),Bruckner Expressway & Buhre Avenue,Yes,Yes,Bronx,,40.8486291,-73.8279754
Pelham South Park Headquarters,"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,,Bronx,,40.823965,-73.8771406
People's Park Playground,"Brook Avenue, East 141 Street",Yes,,Bronx,,40.80957859999999,-73.9180595
Peter's Field,183 Place & Henderson Avenue,Yes,,Queens,,40.706863,-73.7740882
PFC Thomas Norton Memorial Playground,Nostrand Avenue & Marine Parkway,Yes,,Brooklyn,,40.6147979,-73.9445719
Pierrepont Playground,"Furman Street, Pierrepont Place",Yes,,Brooklyn,,40.6971602,-73.9976818
Pink Playground,Stanley Avenue & Eldert Lane,Yes,,Brooklyn,,40.6662576,-73.8620298
Playground 62 (PS 220),Yellowstone Boulevard between 62 Avenue & 62 Road,Yes,,Queens,,40.7140394,-73.89959999999999
Playground 70,West End Avenue & West 70 Street,Yes,Yes,Manhattan,,40.7784935,-73.9854481
Playground 90/PS 148 Playground,Northern Boulevard & 90 Street,Yes,,Queens,,40.7563822,-73.8779457
Playground Fifty-Two,"Kelly Street, St. John's Avenue, Beck Street",Yes,,Bronx,,40.8167927,-73.8982574
Playground Ninety Six (XCVI),"2 Avenue, East 96 to East 97 streets",Yes,,Manhattan,,40.7861708,-73.9495271
Playground Seventy-Five (PS 154),160 Street & 75 Avenue,Yes,,Queens,,40.7267061,-73.8086853
Police Officer Reinaldo Salgado Playground,Madison Street & Patchen Avenue,Yes,,Brooklyn,,40.6874321,-73.9269628
Poor Richard's Playground,East 109 Street between 2 & 3 avenues,Yes,,Manhattan,,40.7941884,-73.9448749
Potomac Playground,Tompkins Avenue & Halsey Street,Yes,,Brooklyn,,40.6825139,-73.94374499999999
Pratt Playground,"Willoughby Avenue, Emerson Place",Yes,,Brooklyn,,40.6923048,-73.9618988
Prescott Playground,Hylan Boulevard & Huguenot Avenue,Yes,,Staten Island,,40.5239656,-74.1860806
Prospect Park (East Parade Grounds),Argyle Road/Parade Place./Parkside Avenue/Caton Avenue,Yes,,Brooklyn,,40.6396611,-73.9660342
Prospect Park (Litchfield Villa),Prospect Park West/3rd Street/7th Street,Yes,,Brooklyn,,40.6682362,-73.9738301
Prospect Park (Middle Long Meadow),Picnic House,Yes,Yes,Brooklyn,,40.6655603,-73.971575
Prospect Park (The Bandshell),Prospect Park West/7th Street/15th Street,Yes,Yes,Brooklyn,,40.6651991,-73.9885478
Prospect Park (West Parade Grounds),Coney Island Avenue/Arglye Road/Parkside Avenue/Caton Avenue,Yes,,Brooklyn,,40.6136033,-73.9631313
Prospect Park (Willink Hill),Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive,Yes,,Brooklyn,,40.6605342,-73.9627709
Prospect Park (Willink Hill),Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive,No,,Brooklyn,,40.6605342,-73.9627709
Prospect Park (Wollman Rink & Flower Garden),Prospect Lake/East Lake Drive/south of Breeze Hill/Parking Lot,,,Brooklyn,,40.6603691,-73.9633971
PS 1 Playground,"46 & 47 streets, 3 Avenue",Yes,,Brooklyn,,40.6520945,-74.01736029999999
PS 155 Playground,"East 117 to East 118 streets, 1 to 2 avenues",Yes,,Manhattan,,40.7641964,-73.9617361
PS 286 Playground,"Avenue Y, between Brown & Haring streets",Yes,Yes,Brooklyn,,40.5945088,-73.9397855
PS 59 Sumner Playground,"Throop, Park, Mytrle avenues",Yes,,Brooklyn,,40.699841,-73.908683
Quarry Ballfields,"Quarry Road, East 181 Street, Oak Place & Hughes Avenue",No,Yes,Bronx,,40.8511382,-73.8928164
Queens Farm Museum,"Little Neck Parkway, Commonwealth Boulevard, south of Grand Central Parkway",Yes,,Queens,,40.7391322,-73.7237346
Queensbridge Park,"21 Street, Bridge Plaza, Vernon Boulevard, East River",Yes,,Queens,,40.7282239,-73.7948516
Railroad Playground,Ditmas Avenue between East 91 & East 92 streets,Yes,Yes,Brooklyn,,40.6781784,-73.9441579
Rainey Park,"Dawson Street, Beck Street, Kelly Street, Intervale Avenue, Longwood Avenue",No,,Bronx,,40.8248438,-73.8915875
Rainey Park,"Vernon Boulevard, 33 Road, 34 Street, East River",Yes,,Queens,,40.7652262,-73.9399775
Randall Playground,"Randall Avenue, Castle Hill Avenue",No,,Bronx,,40.8190937,-73.8479861
Rappaport Playground,"52-53 streets, Fort Hamilton Parkway",Yes,,Brooklyn,,40.6495745,-74.02271019999999
Real Good Park (Lie Playground),"LIE, 99 Street & 62 Avenue",Yes,Yes,Queens,,40.7336657,-73.85764979999999
Red Hook Park,"Otsego, Bay, Hicks, Lorraine, Court, Halleck streets",No,,Brooklyn,,40.6708196,-74.0046191
Red Hook Park,"Columbia and Bay streets, southeast of ""Halleck Street"" Sidewalk and northeast of ""Henry Street"" Sidewalk",Yes,,Brooklyn,,40.6867,-73.998189
Red Hook Park (Coffey Park Playground),"King, Richards, & Dwight Streets",Yes,,Brooklyn,,40.67588,-74.0092167
Red Hook Park (Recreation Center),"Otsego, Bay, Hicks, Lorraine, Court, Halleck streets",Yes,,Brooklyn,,40.6708196,-74.0046191
Reiff Playground,"Fresh Pond Road, 63 Street, 59 Drive",Yes,,Queens,,40.7180155,-73.9011131
Renaissance Playground,"West 144 Street, between 7 & 8 avenues",Yes,,Manhattan,,40.8226338,-73.94351
Rev. Polite Playground,"Rev. James Polite Avenue, Intervale Avenue, East 167 Street",Yes,,Bronx,,40.826007,-73.8968469
Richman (Echo) Park Playground,"East 178 Street & Ryer Avenue, Upper Level",Yes,Yes,Bronx,,40.8498739,-73.901799
Rienzi Playground,"East 226 Street, Barnes Avenue, East 225 Street",Yes,,Bronx,,40.886892,-73.857593
