Name;STATE;COUNTY;TRACT;GEOID;;;
Central Park (West 61st);36;61;14300;366114300;;;
Central Park (Wollman Rink);36;61;2602;36612602;;;
Central Park Delacorte Comfort Station;36;61;14000;366114000;;;
Century Playground;36;47;36002;364736002;;;
Challenge Playground (PS 187) 251 Street Playground;36;81;152902;3681152902;;;
Chelsea Park;36;61;5800;36615800;;;
Chelsea Recreation Center;36;61;9901;36619901;;;
Cherry Tree (Washington) Playground;36;61;16600;366116600;;;
Chester Playground;36;47;92400;364792400;;;
Ciccarone Park Playground;36;5;38900;36538900;;;
City Line Park;36;47;119200;3647119200;;;
Claremont Park;36;5;22703;36522703;;;
Claremont Park Playground;36;5;22500;36522500;;;
Clark Playground;36;5;5100;3655100;;;
Clement Clark Moore Park;36;61;17100;366117100;;;
Clintonville Playground (JHS 194);36;81;102900;3681102900;;;
Col. Charles Young Playground;36;61;21400;366121400;;;
Col. David Marcus Memorial Playground;36;47;43800;364743800;;;
Coleman Square Playground;36;61;600;3661600;;;
College Point Park;36;81;90700;368190700;;;
Colucci Playground;36;5;30000;36530000;;;
Columbus Park;36;47;1100;36471100;;;
Columbus Park;36;61;3100;36613100;;;
Com. John Barry Park & Playground;36;47;48500;364748500;;;
Com. John Barry Park & Playground;36;47;48500;364748500;;;
Com. John Barry Park & Playground (Athletic Area);36;47;48500;364748500;;;
Comm. Eugene S. Sarsfield Playground;36;47;73800;364773800;;;
Coney Island;36;47;36200;364736200;;;
Coney Island;36;47;34200;364734200;;;
Coney Island;36;47;32800;364732800;;;
Coney Island Beach;36;47;44200;364744200;;;
Coney Island Beach;36;47;38200;364738200;;;
Coney Island Beach;36;47;34800;364734800;;;
Coney Island Beach;36;47;32600;364732600;;;
Conference House Park;36;85;13203;368513203;;;
Cooper Park;36;47;44902;364744902;;;
Corona Golf Playground;36;81;23502;368123502;;;
Corporal John A. Seravalli Playground;36;61;7900;36617900;;;
Corporal Thompson Park;36;85;13301;368513301;;;
Corporal Thompson Park/West Brighton Pool;36;85;13301;368513301;;;
Crocheron Park Field House;36;81;109300;3681109300;;;
Crotona Park (Martin Van Buren Playground);36;5;16300;36516300;;;
Crotona Park (Playground of the Stars);36;5;14702;36514702;;;
Crotona Park (Pool House);36;5;16500;36516500;;;
Crotona Park Environmental Center;36;5;36902;36536902;;;
Crowley Playground;36;81;49900;368149900;;;
Cunningham Park;36;81;128300;3681128300;;;
Cunningham Park (210th Street Playground);36;81;129103;3681129103;;;
Cunningham Park (HQ8);36;81;47801;368147801;;;
Cypress Hills Park;36;47;119600;3647119600;;;
Daniel M. O'Connell Playground;36;81;52200;368152200;;;
De Witt Clinton Park;36;61;11700;366111700;;;
Dematti Playground;36;85;800;3685800;;;
Detective Keith L. Williams Park;36;81;44400;368144400;;;
Devoe Park;36;5;26300;36526300;;;
Digilio Playground;36;47;47800;364747800;;;
Dimattina Playground;36;47;6300;36476300;;;
Ditmars Park Playground;36;81;31700;368131700;;;
Double Nickel Playground;36;85;15602;368515602;;;
Downing Street Playground;36;61;6700;36616700;;;
Dr. Charles R. Drew Memorial Park;36;81;18800;368118800;;;
Dr. Martin Luther King Jr. Park;36;47;115800;3647115800;;;
Dr. Richard Greene Playground;36;47;90800;364790800;;;
Drew Playground;36;5;14701;36514701;;;
Dry Dock Playground;36;61;2800;36612800;;;
Dugan Playground;36;85;12806;368512806;;;
Dutch Kills Playground (PS 112);36;81;5300;36815300;;;
Dyckman House Museum;36;61;29500;366129500;;;
Dyker Beach Park;36;47;19400;364719400;;;
East Elmhurst Playground (PS 127);36;81;35700;368135700;;;
East River Park (10th Street);36;61;16900;366116900;;;
East River Park (Tennis Courts);36;61;4500;36614500;;;
East River Park (Track Building);36;61;2400;36612400;;;
East River Playground;36;61;16200;366116200;;;
East Springfield Playground;36;81;55200;368155200;;;
Eastchester Playground;36;5;34800;36534800;;;
Edenwald Playground;36;5;46000;36546000;;;
Ederle Comfort Station;36;81;38302;368138302;;;
Edmonds Playground;36;47;18300;364718300;;;
Electric Playground;36;81;122703;3681122703;;;
Emerald Playground (PS 200);36;81;122703;3681122703;;;
Equity Park;36;81;1600;36811600;;;
Ethan Allen Playground;36;47;110400;3647110400;;;
Farm Playground;36;81;133300;3681133300;;;
Fermi Playground;36;47;42500;364742500;;;
Fisher Pool;36;81;36300;368136300;;;
Flushing Fields (Leonardo Ingravallo Playground);36;81;77905;368177905;;;
Flushing Meadows Corona Park (Albert H. Mauro Playground);36;81;77902;368177902;;;
Flushing Meadows Corona Park (Lawrence Playground);36;81;80301;368180301;;;
Flushing Meadows Corona Park (Meadow Lake North);36;81;38302;368138302;;;
Flushing Meadows Corona Park (Passerelle);36;81;38302;368138302;;;
Flushing Meadows Corona Park (Playground for All Children);36;81;38302;368138302;;;
Hansborough Recreation Center;36;61;21200;366121200;;;
Flushing Meadows Corona Park (Worlds Fair Playground);36;81;21200;368121200;;;
Flushing Meadows Corona Park (Zoo;36;81;38302;368138302;;;
Flynn Playground;36;5;7100;3657100;;;
