Name;STATE;COUNTY;TRACT;GEOID;;;
St. Andrew's Playground;36;47;114400;3647114400;;;
St. Catherine's Park;36;61;12200;366112200;;;
St. Mary's Park (Recreation Center);36;5;3700;3653700;;;
St. Mary's Park West;36;5;4300;3654300;;;
St. Mary's Playground East Playground;36;81;103900;3681103900;;;
St. Nicholas Park;36;61;21500;366121500;;;
St. Nicholas Park;36;61;21703;366121703;;;
St. Nicholas Park (Arlington Edinboro Playground);36;61;21703;366121703;;;
St. Vartan Park;36;61;8200;36618200;;;
Stanley Isaacs;36;61;16002;366116002;;;
Stapleton Playground;36;85;2700;36852700;;;
Star Spangled Banner Playground;36;47;25300;364725300;;;
Stars & Stripes Playground;36;5;48401;36548401;;;
Sternberg Park;36;47;49302;364749302;;;
Stockton Playground;36;47;25500;364725500;;;
Stroud Playground;36;47;21500;364721500;;;
Sunset Park;36;47;12801;364712801;;;
Sunset Park (Recreation Center);36;47;12801;364712801;;;
Surf Playground;36;47;34000;364734000;;;
Tall Oak Playground;36;81;55200;368155200;;;
Taylor Playground;36;5;21601;36521601;;;
Tecumseh Playground;36;61;16300;366116300;;;
Terrace Playground;36;85;4700;36854700;;;
The Pearly Gates;36;5;20200;36520200;;;
Thomas Jefferson Park;36;61;17800;366117800;;;
Tiffany Playground;36;5;12500;36512500;;;
Tiger Playground;36;47;41300;364741300;;;
Tilden Playground;36;47;85000;364785000;;;
Todt Hill Playground;36;85;17701;368517701;;;
Tompkins Square Park;36;61;3400;36613400;;;
Tremont Park Playground;36;5;39500;36539500;;;
Triborough Bridge Playground A;36;81;4500;36814500;;;
Triborough Bridge Playground B;36;81;7700;36817700;;;
Underhill Playground;36;47;20500;364720500;;;
Underwood Park;36;47;19700;364719700;;;
Union Playground (PS 214);36;81;88903;368188903;;;
Union Square Park;36;61;5000;36615000;;;
Van Cortlandt Park (Allen Shandler Recreation Area);36;5;43503;36543503;;;
Van Cortlandt Park (Classic Playground);36;5;43503;36543503;;;
Van Cortlandt Park (Indian Field);36;5;43503;36543503;;;
Van Cortlandt Park (Nature Center);36;5;29500;36529500;;;
Van Cortlandt Park (Pool Building);36;5;43503;36543503;;;
Van Cortlandt Park (Stables Area);36;5;34500;36534500;;;
Van Cortlandt Park (Stadium);36;5;43503;36543503;;;
Van Cortlandt Park (UC Pool Headquarters);36;5;43503;36543503;;;
Van Cortlandt Park (UC Pool Men's Locker);36;5;43503;36543503;;;
Van Cortlandt Park (Woodlawn Playground);36;5;29500;36529500;;;
Van Voorhees Lower Park;36;47;51300;364751300;;;
Vesuvio Playground;36;61;4900;36614900;;;
Vidalia Park;36;5;23501;36523501;;;
Vinmont Veteran Playground;36;5;32300;36532300;;;
Virginia Playground;36;5;22403;36522403;;;
Vleigh Place Playground;36;81;77903;368177903;;;
Vleigh Playground (PS 165);36;81;62100;368162100;;;
Wagner Pool;36;61;19600;366119600;;;
Wakefield Playground;36;5;41400;36541400;;;
Washington Hall Playground;36;47;19100;364719100;;;
Washington Square Park Western Half;36;61;6500;36616500;;;
Watson Gleason Playground;36;5;6800;3656800;;;
Wayanda Park;36;81;58200;368158200;;;
Webster Playground;36;5;14300;36514300;;;
Weeping Beech Park;36;81;86500;368186500;;;
West 2nd Street Comfort Station;36;47;37402;364737402;;;
West 59th Street Recreation Center & Pool;36;61;17100;366117100;;;
West 8nd Street CS;36;47;38600;364738600;;;
Whitestone Playground (PS 193);36;81;24000;368124000;;;
William E. Kelly Memorial Park;36;47;55600;364755600;;;
William Sheridan Playground;36;47;55100;364755100;;;
Williamsbridge Oval;36;5;41900;36541900;;;
Willis Playground;36;5;23800;36523800;;;
Willoughby Playground;36;47;25901;364725901;;;
Willow Lake Playground (PS 196);36;81;77902;368177902;;;
Willowbrook Park;36;85;18901;368518901;;;
Wingate Park;36;47;81000;364781000;;;
Woods Playground;36;47;30900;364730900;;;
Woodtree Playground;36;81;6100;36816100;;;
Yak Playground;36;47;57200;364757200;;;
Zimmerman Playground;36;5;33601;36533601;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
